,episode,success,sim_steps,VFE_post_run,noise_stddev,percent_use_fast_thinking,total_reward,agent_time_ratio,agent_id
0,0,True,87,79.71215057373047,"[0.05, 0.05]",0.0,98.83280525105991,6,0
1,1,True,216,84.73735809326172,"[0.05, 0.05]",0.0,97.17166263168349,6,0
2,2,True,479,47.627197265625,"[0.05, 0.05]",0.0875,93.97935313049263,6,0
3,3,True,976,48.93946838378906,"[0.05, 0.05]",0.018404907975460124,86.36412082134365,6,0
4,4,True,421,54.19579315185547,"[0.05, 0.05]",0.056338028169014086,94.23525877042574,6,0
5,5,True,126,93.60920715332031,"[0.05, 0.05]",0.047619047619047616,98.30069269313032,6,0
6,6,True,79,109.57727813720703,"[0.05, 0.05]",0.0,98.87392230001983,6,0
7,7,True,100,71.61354064941406,"[0.05, 0.05]",0.058823529411764705,98.74054764889463,6,0
8,8,True,257,84.34404754638672,"[0.05, 0.05]",0.023255813953488372,96.25866639835861,6,0
9,9,True,165,42.229061126708984,"[0.05, 0.05]",0.25,98.31968856888152,6,0
10,10,True,94,87.19280242919922,"[0.05, 0.05]",0.0625,98.72514878292398,6,0
11,11,True,134,82.4887924194336,"[0.05, 0.05]",0.08695652173913043,98.1049471614637,6,0
12,12,True,80,63.19329071044922,"[0.05, 0.05]",0.07142857142857142,98.87850158722992,6,0
13,13,True,81,86.91262817382812,"[0.05, 0.05]",0.0,98.66303536607913,6,0
14,14,True,79,76.58523559570312,"[0.05, 0.05]",0.0,98.81003457238847,6,0
15,15,True,85,52.09065246582031,"[0.05, 0.05]",0.06666666666666667,98.86962567987152,6,0
16,16,True,129,64.1445083618164,"[0.05, 0.05]",0.0,98.16571777090951,6,0
17,17,True,130,49.47294998168945,"[0.05, 0.05]",0.18181818181818182,98.52739194203411,6,0
18,18,True,110,55.74674606323242,"[0.05, 0.05]",0.0,98.27171387673384,6,0
19,19,True,123,76.44768524169922,"[0.05, 0.05]",0.09523809523809523,98.39813896465783,6,0
20,20,True,75,70.48938751220703,"[0.05, 0.05]",0.0,98.88284524919298,6,0
21,21,True,142,67.0355224609375,"[0.05, 0.05]",0.08333333333333333,98.18253731099898,6,0
22,22,True,76,34.292076110839844,"[0.05, 0.05]",0.0,98.98132265454879,6,0
23,23,True,79,50.104183197021484,"[0.05, 0.05]",0.0,98.85058501840054,6,0
24,24,True,78,23.19080924987793,"[0.05, 0.05]",0.07692307692307693,99.02851555907033,6,0
25,25,True,180,43.82429885864258,"[0.05, 0.05]",0.06666666666666667,97.87357662400942,6,0
26,26,True,147,22.300296783447266,"[0.05, 0.05]",0.12,98.14172248101275,6,0
27,27,True,152,30.41064453125,"[0.05, 0.05]",0.11538461538461539,98.138755511936,6,0
28,28,True,79,15.694609642028809,"[0.05, 0.05]",0.14285714285714285,99.09540900973273,6,0
29,29,True,165,29.647972106933594,"[0.05, 0.05]",0.10714285714285714,97.76251774475278,6,0
30,30,True,132,16.108871459960938,"[0.05, 0.05]",0.09090909090909091,98.4678547106551,6,0
31,31,True,77,15.660922050476074,"[0.05, 0.05]",0.15384615384615385,99.07939249080755,6,0
32,32,True,87,15.48771858215332,"[0.05, 0.05]",0.26666666666666666,99.10166205825368,6,0
33,33,True,179,12.592430114746094,"[0.05, 0.05]",0.4,98.55275561751489,6,0
34,34,True,101,17.173091888427734,"[0.05, 0.05]",0.11764705882352941,98.57078311919976,6,0
35,35,True,124,13.092673301696777,"[0.05, 0.05]",0.2857142857142857,98.58137890513613,6,0
36,36,True,136,13.827248573303223,"[0.05, 0.05]",0.391304347826087,98.81758317874944,6,0
37,37,True,172,15.944406509399414,"[0.05, 0.05]",0.5517241379310345,98.95013639488057,6,0
38,38,True,124,13.580005645751953,"[0.05, 0.05]",0.23809523809523808,98.78667891293749,6,0
39,39,True,178,11.218677520751953,"[0.05, 0.05]",0.3,98.37719336453257,6,0
40,40,True,138,13.53769302368164,"[0.05, 0.05]",0.34782608695652173,98.95184930563951,6,0
41,41,True,139,11.252652168273926,"[0.05, 0.05]",0.25,98.36643982490956,6,0
42,42,True,89,10.718008995056152,"[0.05, 0.05]",0.26666666666666666,98.94167383206145,6,0
43,43,True,139,11.559504508972168,"[0.05, 0.05]",0.4583333333333333,98.99204374749726,6,0
44,44,True,109,13.517611503601074,"[0.05, 0.05]",0.2631578947368421,98.80647124420274,6,0
45,45,True,114,11.89285945892334,"[0.05, 0.05]",0.3684210526315789,98.93317106042596,6,0
46,46,True,257,15.229229927062988,"[0.05, 0.05]",0.4186046511627907,98.18132068749703,6,0
47,47,True,96,9.031481742858887,"[0.05, 0.05]",0.1875,99.02774578102994,6,0
48,48,True,166,11.891121864318848,"[0.05, 0.05]",0.32142857142857145,98.3979635757768,6,0
49,49,True,111,9.702895164489746,"[0.05, 0.05]",0.2631578947368421,98.87357159591473,6,0
50,50,True,136,9.226021766662598,"[0.05, 0.05]",0.43478260869565216,98.82240230735435,6,0
51,51,True,182,11.633914947509766,"[0.05, 0.05]",0.22580645161290322,97.92924357449766,6,0
52,52,True,164,9.419061660766602,"[0.05, 0.05]",0.42857142857142855,98.81750928158938,6,0
53,53,True,211,7.344587326049805,"[0.05, 0.05]",0.5833333333333334,98.72685277566327,6,0
54,54,True,228,6.898758411407471,"[0.05, 0.05]",0.6052631578947368,98.80121066161352,6,0
55,55,True,157,12.508267402648926,"[0.05, 0.05]",0.3333333333333333,98.73669637154435,6,0
56,56,True,78,8.974387168884277,"[0.05, 0.05]",0.07692307692307693,99.04655069746502,6,0
57,57,True,241,11.31696605682373,"[0.05, 0.05]",0.4878048780487805,98.30495921054882,6,0
58,58,True,177,8.562139511108398,"[0.05, 0.05]",0.4,98.48927871427263,6,0
59,59,True,124,7.073231220245361,"[0.05, 0.05]",0.47619047619047616,99.10985526668775,6,0
60,60,True,164,6.7902069091796875,"[0.05, 0.05]",0.6071428571428571,99.04692028342477,6,0
