,episode,success,sim_steps,VFE_post_run,noise_stddev,percent_use_fast_thinking,total_reward,agent_time_ratio,agent_id
0,0,True,111,160.18304443359375,"[0.05, 0.05]",0.0,98.49857879497489,6,0
1,1,True,117,141.3592071533203,"[0.05, 0.05]",0.0,98.4645658853223,6,0
2,2,True,229,118.89327239990234,"[0.05, 0.05]",0.0,97.0294377284201,6,0
3,3,True,98,67.82791900634766,"[0.05, 0.05]",0.058823529411764705,98.96347854257333,6,0
4,4,True,424,56.31632995605469,"[0.05, 0.05]",0.15492957746478872,95.19774277207046,6,0
5,5,True,239,61.7209587097168,"[0.05, 0.05]",0.425,98.30719509083396,6,0
6,6,True,221,69.0940933227539,"[0.05, 0.05]",0.21621621621621623,97.88720022486977,6,0
7,7,True,624,64.41034698486328,"[0.05, 0.05]",0.07692307692307693,92.28916919131963,6,0
8,8,True,495,69.60990142822266,"[0.05, 0.05]",0.04819277108433735,94.04765578493716,6,0
9,9,True,227,42.45702362060547,"[0.05, 0.05]",0.2894736842105263,97.80844917042177,6,0
10,10,True,159,39.84111404418945,"[0.05, 0.05]",0.1111111111111111,98.1034649316475,6,0
11,11,True,99,77.89667510986328,"[0.05, 0.05]",0.0,98.66663554471941,6,0
12,12,True,93,43.76375961303711,"[0.05, 0.05]",0.125,98.92308881548881,6,0
13,13,True,150,31.756507873535156,"[0.05, 0.05]",0.4,98.76556376554564,6,0
14,14,True,127,62.50390625,"[0.05, 0.05]",0.09090909090909091,98.3881581328562,6,0
15,15,True,195,54.87215805053711,"[0.05, 0.05]",0.24242424242424243,97.89449335615654,6,0
16,16,True,111,69.37733459472656,"[0.05, 0.05]",0.0,98.53344635760268,6,0
17,17,True,118,46.734283447265625,"[0.05, 0.05]",0.25,98.73138156680038,6,0
18,18,True,134,77.97351837158203,"[0.05, 0.05]",0.0,98.07302137435191,6,0
19,19,True,125,58.60419845581055,"[0.05, 0.05]",0.14285714285714285,98.62226583597923,6,0
20,20,True,79,52.83662033081055,"[0.05, 0.05]",0.0,98.84750003894477,6,0
21,21,True,183,52.94101333618164,"[0.05, 0.05]",0.1935483870967742,97.9311813066821,6,0
22,22,True,122,54.45258712768555,"[0.05, 0.05]",0.0,98.24864543198902,6,0
23,23,True,109,46.641849517822266,"[0.05, 0.05]",0.0,98.49078355619498,6,0
24,24,True,128,68.50220489501953,"[0.05, 0.05]",0.045454545454545456,98.3237044281673,6,0
25,25,True,145,37.64196014404297,"[0.05, 0.05]",0.16,98.27810783053492,6,0
26,26,True,101,50.31953811645508,"[0.05, 0.05]",0.0,98.63473003381317,6,0
27,27,True,111,29.424585342407227,"[0.05, 0.05]",0.15789473684210525,98.6070793787383,6,0
28,28,True,113,55.132530212402344,"[0.05, 0.05]",0.05263157894736842,98.46095657980547,6,0
29,29,True,110,43.5079345703125,"[0.05, 0.05]",0.0,98.5375375031213,6,0
30,30,True,107,39.37583541870117,"[0.05, 0.05]",0.05555555555555555,98.78157415926026,6,0
31,31,True,73,40.06650924682617,"[0.05, 0.05]",0.0,99.04611466186229,6,0
32,32,True,137,49.449981689453125,"[0.05, 0.05]",0.0,98.17731668374216,6,0
33,33,True,114,41.676658630371094,"[0.05, 0.05]",0.0,98.62465508482154,6,0
