,episode,success,sim_steps,VFE_post_run,noise_stddev,percent_use_fast_thinking,total_reward,agent_time_ratio,agent_id
0,0,True,542,60.481136322021484,"[0.05, 0.05]",0.0,93.05438256247395,6,0
1,1,True,87,68.12858581542969,"[0.05, 0.05]",0.0,98.81045666168023,6,0
2,2,True,164,91.22467041015625,"[0.05, 0.05]",0.0,97.8663872395248,6,0
3,3,True,233,52.24102783203125,"[0.05, 0.05]",0.0,97.45596473755138,6,0
4,4,True,114,99.11042785644531,"[0.05, 0.05]",0.0,98.54405454815208,6,0
5,5,True,208,46.402130126953125,"[0.05, 0.05]",0.0,98.22207735292005,6,0
6,6,True,72,72.35460662841797,"[0.05, 0.05]",0.0,98.99615916040736,6,0
7,7,True,128,68.91938018798828,"[0.05, 0.05]",0.0,98.26424765229109,6,0
8,8,True,86,71.32749938964844,"[0.05, 0.05]",0.0,98.76470613728289,6,0
9,9,True,149,73.8221206665039,"[0.05, 0.05]",0.0,98.30699775364164,6,0
10,10,True,111,63.404991149902344,"[0.05, 0.05]",0.0,98.57686472886819,6,0
11,11,True,110,52.003379821777344,"[0.05, 0.05]",0.0,98.48716392598226,6,0
12,12,True,73,79.6917724609375,"[0.05, 0.05]",0.0,98.84455869032959,6,0
13,13,True,72,64.70249938964844,"[0.05, 0.05]",0.0,99.216899261073,6,0
14,14,True,95,87.25625610351562,"[0.05, 0.05]",0.0,98.67991527520685,6,0
15,15,True,129,80.77214050292969,"[0.05, 0.05]",0.0,98.12984198807229,6,0
16,16,True,106,85.10651397705078,"[0.05, 0.05]",0.0,98.5313471495124,6,0
17,17,True,149,76.05120849609375,"[0.05, 0.05]",0.0,98.49316659135135,6,0
18,18,True,240,68.0895767211914,"[0.05, 0.05]",0.0,97.18716394439578,6,0
19,19,True,83,51.73817443847656,"[0.05, 0.05]",0.0,98.88946937137365,6,0
20,20,True,90,63.97901153564453,"[0.05, 0.05]",0.0,98.74704854313997,6,0
21,21,True,104,54.09103775024414,"[0.05, 0.05]",0.0,98.43902278956108,6,0
22,22,True,105,67.61602783203125,"[0.05, 0.05]",0.0,98.50518668345164,6,0
23,23,True,154,61.42013168334961,"[0.05, 0.05]",0.0,98.10532031367367,6,0
24,24,True,162,66.7013168334961,"[0.05, 0.05]",0.0,97.66111629780943,6,0
25,25,True,118,49.87095260620117,"[0.05, 0.05]",0.0,98.29761958749651,6,0
26,26,True,94,48.76426315307617,"[0.05, 0.05]",0.0,98.68962910821516,6,0
27,27,True,69,53.394447326660156,"[0.05, 0.05]",0.0,99.02106821022683,6,0
28,28,True,91,40.3880615234375,"[0.05, 0.05]",0.0,98.78089570008902,6,0
29,29,True,124,44.288734436035156,"[0.05, 0.05]",0.0,98.18731502034831,6,0
30,30,True,85,37.16987991333008,"[0.05, 0.05]",0.0,98.74590679335192,6,0
31,31,True,75,35.965736389160156,"[0.05, 0.05]",0.0,98.93912674159384,6,0
32,32,True,74,30.973161697387695,"[0.05, 0.05]",0.0,98.7743292787344,6,0
33,33,True,70,26.363691329956055,"[0.05, 0.05]",0.0,99.01541702274754,6,0
34,34,True,113,41.45543670654297,"[0.05, 0.05]",0.0,98.3434351619849,6,0
35,35,True,68,34.193721771240234,"[0.05, 0.05]",0.0,98.93505356403807,6,0
36,36,True,124,26.714216232299805,"[0.05, 0.05]",0.0,98.30775362716523,6,0
37,37,True,69,27.01806640625,"[0.05, 0.05]",0.0,98.84632469460607,6,0
38,38,True,71,17.53457260131836,"[0.05, 0.05]",0.0,98.9983715723966,6,0
39,39,True,118,25.82961654663086,"[0.05, 0.05]",0.0,98.27407966129583,6,0
40,40,True,113,17.363698959350586,"[0.05, 0.05]",0.0,98.40535383959882,6,0
41,41,True,103,17.123336791992188,"[0.05, 0.05]",0.0,98.52352477733828,6,0
42,42,True,123,14.745556831359863,"[0.05, 0.05]",0.0,98.15053896174906,6,0
43,43,True,98,15.39616870880127,"[0.05, 0.05]",0.0,98.5952600255101,6,0
44,44,True,80,14.548195838928223,"[0.05, 0.05]",0.0,98.93412760187967,6,0
45,45,True,112,18.967388153076172,"[0.05, 0.05]",0.0,98.36789535577228,6,0
46,46,True,107,12.729073524475098,"[0.05, 0.05]",0.0,98.47053166193842,6,0
47,47,True,173,13.321751594543457,"[0.05, 0.05]",0.0,97.5472490787861,6,0
48,48,True,117,9.865391731262207,"[0.05, 0.05]",0.0,98.4286186768568,6,0
49,49,True,83,12.734685897827148,"[0.05, 0.05]",0.0,98.9841424877888,6,0
50,50,True,75,12.58077335357666,"[0.05, 0.05]",0.0,98.92885420022729,6,0
51,51,True,71,11.773045539855957,"[0.05, 0.05]",0.0,99.03466786151246,6,0
52,52,True,77,11.674482345581055,"[0.05, 0.05]",0.0,98.98024014654297,6,0
53,53,True,85,11.603342056274414,"[0.05, 0.05]",0.0,98.7288204000577,6,0
54,54,True,124,11.565868377685547,"[0.05, 0.05]",0.0,98.22584586705868,6,0
55,55,True,91,10.830613136291504,"[0.05, 0.05]",0.0,98.69071896983701,6,0
56,56,True,86,9.695062637329102,"[0.05, 0.05]",0.0,98.72928458008272,6,0
57,57,True,70,9.642142295837402,"[0.05, 0.05]",0.0,98.94696570758818,6,0
58,58,True,114,11.283551216125488,"[0.05, 0.05]",0.0,98.39237447056405,6,0
59,59,True,96,11.550923347473145,"[0.05, 0.05]",0.0,98.65896144833906,6,0
60,60,True,219,9.308907508850098,"[0.05, 0.05]",0.5945945945945946,98.84451887478046,6,0
61,61,True,181,9.005447387695312,"[0.05, 0.05]",0.45161290322580644,98.59864943897105,6,0
62,62,True,129,8.19113826751709,"[0.05, 0.05]",0.3181818181818182,98.80359378930055,6,0
63,63,True,96,9.625258445739746,"[0.05, 0.05]",0.4375,99.2589292013823,6,0
64,64,True,161,8.285391807556152,"[0.05, 0.05]",0.37037037037037035,98.70999675259539,6,0
65,65,True,145,9.249494552612305,"[0.05, 0.05]",0.6,99.22680994684411,6,0
66,66,True,159,10.28632926940918,"[0.05, 0.05]",0.5185185185185185,99.07985427836962,6,0
67,67,True,146,10.464394569396973,"[0.05, 0.05]",0.32,98.57836404027655,6,0
68,68,True,171,10.813921928405762,"[0.05, 0.05]",0.41379310344827586,98.53846342467611,6,0
69,69,True,125,9.622486114501953,"[0.05, 0.05]",0.42857142857142855,99.02281454229272,6,0
70,70,True,103,11.122929573059082,"[0.05, 0.05]",0.2777777777777778,98.9637335811396,6,0
71,71,True,146,8.442290306091309,"[0.05, 0.05]",0.48,99.11455121623597,6,0
72,72,True,192,10.668689727783203,"[0.05, 0.05]",0.53125,98.72824832134313,6,0
73,73,True,190,7.278138637542725,"[0.05, 0.05]",0.71875,99.19356581401286,6,0
74,74,True,180,11.310877799987793,"[0.05, 0.05]",0.43333333333333335,98.5246384309663,6,0
75,75,True,134,8.3077392578125,"[0.05, 0.05]",0.21739130434782608,98.60008559932139,6,0
76,76,True,178,7.457958698272705,"[0.05, 0.05]",0.5666666666666667,99.0699236104642,6,0
77,77,True,128,13.669837951660156,"[0.05, 0.05]",0.18181818181818182,98.56769791694784,6,0
78,78,True,253,11.691130638122559,"[0.05, 0.05]",0.4186046511627907,97.82364192994845,6,0
79,79,True,122,8.826188087463379,"[0.05, 0.05]",0.38095238095238093,98.88857971153247,6,0
80,80,True,140,9.868711471557617,"[0.05, 0.05]",0.4166666666666667,98.80113065779749,6,0
81,81,True,177,9.15748119354248,"[0.05, 0.05]",0.43333333333333335,98.6144675341693,6,0
82,82,True,88,8.758722305297852,"[0.05, 0.05]",0.3333333333333333,99.12971733150272,6,0
83,83,True,176,9.114750862121582,"[0.05, 0.05]",0.4666666666666667,98.67288032646579,6,0
84,84,True,174,6.56575870513916,"[0.05, 0.05]",0.5517241379310345,98.73882468236819,6,0
