,episode,success,sim_steps,VFE_post_run,noise_stddev,percent_use_fast_thinking,total_reward,agent_time_ratio,agent_id
0,0,True,101,86.31766510009766,"[0.05, 0.05]",0.0,98.92076706446552,6,0
1,1,False,999,49.125465393066406,"[0.05, 0.05]",0.03592814371257485,-14.395131859916013,6,0
2,2,True,142,75.2355728149414,"[0.05, 0.05]",0.041666666666666664,98.01514435938327,6,0
3,3,False,999,37.92658615112305,"[0.05, 0.05]",0.1317365269461078,-13.103575443169039,6,0
4,4,True,296,55.43328857421875,"[0.05, 0.05]",0.1,96.00347488136435,6,0
5,5,True,707,38.760555267333984,"[0.05, 0.05]",0.06779661016949153,90.44876327618258,6,0
6,6,True,173,29.181318283081055,"[0.05, 0.05]",0.41379310344827586,98.45733931588421,6,0
7,7,True,167,79.19611358642578,"[0.05, 0.05]",0.03571428571428571,97.79082470521648,6,0
8,8,True,182,47.64908981323242,"[0.05, 0.05]",0.1935483870967742,97.94736326865183,6,0
9,9,True,107,30.800968170166016,"[0.05, 0.05]",0.05555555555555555,98.54978145820672,6,0
10,10,True,146,45.87553024291992,"[0.05, 0.05]",0.0,97.94630298409297,6,0
11,11,True,269,25.89422035217285,"[0.05, 0.05]",0.4666666666666667,97.88969026189875,6,0
12,12,True,142,42.83494567871094,"[0.05, 0.05]",0.16666666666666666,98.31453619596182,6,0
13,13,True,133,38.6866569519043,"[0.05, 0.05]",0.043478260869565216,98.07900238020696,6,0
14,14,True,177,35.90446472167969,"[0.05, 0.05]",0.23333333333333334,98.09547530656634,6,0
15,15,True,142,35.70628356933594,"[0.05, 0.05]",0.20833333333333334,98.23505661633955,6,0
16,16,True,134,48.94773864746094,"[0.05, 0.05]",0.08695652173913043,98.20388136346095,6,0
17,17,True,162,24.115482330322266,"[0.05, 0.05]",0.037037037037037035,97.66992270463791,6,0
18,18,True,195,25.577613830566406,"[0.05, 0.05]",0.09090909090909091,97.26203485817402,6,0
19,19,True,83,40.00489807128906,"[0.05, 0.05]",0.0,98.85435978872293,6,0
20,20,True,118,37.393680572509766,"[0.05, 0.05]",0.15,98.5253362188102,6,0
21,21,True,171,15.989380836486816,"[0.05, 0.05]",0.5862068965517241,98.938922774373,6,0
22,22,True,158,33.929847717285156,"[0.05, 0.05]",0.2222222222222222,98.40130529925051,6,0
23,23,True,124,35.76655960083008,"[0.05, 0.05]",0.09523809523809523,98.56447675375024,6,0
24,24,True,81,29.69808006286621,"[0.05, 0.05]",0.14285714285714285,99.08835948246164,6,0
25,25,True,151,25.72667121887207,"[0.05, 0.05]",0.23076923076923078,98.6825025690429,6,0
26,26,True,73,26.7761287689209,"[0.05, 0.05]",0.07692307692307693,99.01823685478516,6,0
27,27,True,160,29.667512893676758,"[0.05, 0.05]",0.1111111111111111,98.04113191517814,6,0
28,28,True,95,30.562047958374023,"[0.05, 0.05]",0.0,98.68745072027995,6,0
29,29,True,148,39.77650451660156,"[0.05, 0.05]",0.16,98.17726311993286,6,0
30,30,True,91,19.277206420898438,"[0.05, 0.05]",0.1875,98.89356338042816,6,0
31,31,True,75,28.05770492553711,"[0.05, 0.05]",0.15384615384615385,99.03423977970034,6,0
32,32,True,96,19.188535690307617,"[0.05, 0.05]",0.125,98.98149757417085,6,0
33,33,True,127,28.021364212036133,"[0.05, 0.05]",0.18181818181818182,98.41514090862763,6,0
34,34,True,120,26.48263168334961,"[0.05, 0.05]",0.15,98.70708785709378,6,0
35,35,True,165,39.04106903076172,"[0.05, 0.05]",0.07142857142857142,97.76769236928519,6,0
36,36,True,159,37.49351119995117,"[0.05, 0.05]",0.07407407407407407,98.17053438937573,6,0
37,37,True,145,17.450584411621094,"[0.05, 0.05]",0.4,98.93901938778178,6,0
38,38,True,188,25.308259963989258,"[0.05, 0.05]",0.25,98.17745646347464,6,0
39,39,True,164,22.562524795532227,"[0.05, 0.05]",0.0,97.79134532839244,6,0
40,40,True,219,20.23210906982422,"[0.05, 0.05]",0.21621621621621623,97.60469688206916,6,0
41,41,True,310,10.536672592163086,"[0.05, 0.05]",0.28846153846153844,96.54529435374678,6,0
42,42,True,216,11.129129409790039,"[0.05, 0.05]",0.4722222222222222,98.28254623374481,6,0
43,43,True,77,10.533729553222656,"[0.05, 0.05]",0.0,98.94361465042567,6,0
44,44,True,88,11.790834426879883,"[0.05, 0.05]",0.3333333333333333,99.0946758637679,6,0
45,45,True,157,11.49097728729248,"[0.05, 0.05]",0.4074074074074074,98.79345673920085,6,0
46,46,True,146,11.384758949279785,"[0.05, 0.05]",0.2,98.40671337558204,6,0
47,47,True,124,11.929970741271973,"[0.05, 0.05]",0.2857142857142857,98.7356733725196,6,0
48,48,True,90,8.655169486999512,"[0.05, 0.05]",0.13333333333333333,98.6232417259578,6,0
49,49,True,99,9.30867862701416,"[0.05, 0.05]",0.47058823529411764,99.18802317968435,6,0
50,50,True,199,8.258004188537598,"[0.05, 0.05]",0.4411764705882353,98.4503669985339,6,0
51,51,True,168,7.637902736663818,"[0.05, 0.05]",0.4642857142857143,98.72955917011329,6,0
52,52,True,129,7.5824995040893555,"[0.05, 0.05]",0.4090909090909091,98.95001308810467,6,0
53,53,True,209,10.437739372253418,"[0.05, 0.05]",0.4857142857142857,98.47429112733022,6,0
54,54,True,94,11.423185348510742,"[0.05, 0.05]",0.1875,98.49814046454762,6,0
55,55,True,147,9.788090705871582,"[0.05, 0.05]",0.32,98.6031578677642,6,0
56,56,True,105,9.323771476745605,"[0.05, 0.05]",0.2777777777777778,99.02408238287316,6,0
57,57,True,114,9.483593940734863,"[0.05, 0.05]",0.21052631578947367,99.07123093961471,6,0
58,58,True,114,9.157051086425781,"[0.05, 0.05]",0.3157894736842105,98.70259236356628,6,0
59,59,True,118,9.09149169921875,"[0.05, 0.05]",0.25,98.72239064206508,6,0
60,60,True,115,8.953886985778809,"[0.05, 0.05]",0.45,99.11807537105587,6,0
61,61,True,170,9.466930389404297,"[0.05, 0.05]",0.5862068965517241,98.94677754904913,6,0
62,62,True,114,10.649088859558105,"[0.05, 0.05]",0.3157894736842105,98.96903418549104,6,0
63,63,True,131,6.209433555603027,"[0.05, 0.05]",0.4090909090909091,98.7554261781363,6,0
64,64,True,245,8.257299423217773,"[0.05, 0.05]",0.5365853658536586,98.25242273197664,6,0
65,65,True,249,7.429485321044922,"[0.05, 0.05]",0.6904761904761905,98.72773193745829,6,0
66,66,True,334,8.361469268798828,"[0.05, 0.05]",0.44642857142857145,96.96681348865953,6,0
67,67,True,196,7.269329071044922,"[0.05, 0.05]",0.18181818181818182,97.53975588264359,6,0
68,68,True,173,7.591126441955566,"[0.05, 0.05]",0.27586206896551724,98.12502281497503,6,0
69,69,True,295,6.012250900268555,"[0.05, 0.05]",0.46,97.35235145440956,6,0
70,70,True,159,7.405154705047607,"[0.05, 0.05]",0.48148148148148145,98.7694946967555,6,0
71,71,True,114,8.0340576171875,"[0.05, 0.05]",0.3157894736842105,98.76957830483387,6,0
72,72,True,199,9.666847229003906,"[0.05, 0.05]",0.4117647058823529,97.96240345718488,6,0
73,73,True,180,8.039716720581055,"[0.05, 0.05]",0.43333333333333335,98.22853025996157,6,0
74,74,True,397,5.094532012939453,"[0.05, 0.05]",0.5223880597014925,96.23213282230162,6,0
75,75,True,114,11.466550827026367,"[0.05, 0.05]",0.15789473684210525,98.65374035259352,6,0
76,76,True,296,9.868193626403809,"[0.05, 0.05]",0.4,96.94973478808943,6,0
77,77,True,191,5.586239814758301,"[0.05, 0.05]",0.625,98.40371007114099,6,0
78,78,True,210,9.390779495239258,"[0.05, 0.05]",0.5142857142857142,98.27930251735245,6,0
