,episode,success,sim_steps,VFE_post_run,noise_stddev,percent_use_fast_thinking,total_reward,agent_time_ratio,agent_id
0,0,True,88,139.4352569580078,"[0.05, 0.05]",0.0,98.95865975170149,6,0
1,1,False,999,38.492095947265625,"[0.05, 0.05]",0.029940119760479042,-12.175376143827139,6,0
2,2,True,310,66.25691223144531,"[0.05, 0.05]",0.057692307692307696,95.72842768673667,6,0
3,3,True,190,75.3194808959961,"[0.05, 0.05]",0.0,96.96122428803638,6,0
4,4,True,262,35.57693862915039,"[0.05, 0.05]",0.1590909090909091,97.11982171815949,6,0
5,5,True,125,62.38331604003906,"[0.05, 0.05]",0.19047619047619047,98.6133121460411,6,0
6,6,True,168,60.917579650878906,"[0.05, 0.05]",0.21428571428571427,98.0982867001711,6,0
7,7,True,110,68.55157470703125,"[0.05, 0.05]",0.2631578947368421,98.826192143753,6,0
8,8,True,83,62.54967498779297,"[0.05, 0.05]",0.07142857142857142,98.87112076654907,6,0
9,9,True,242,81.56070709228516,"[0.05, 0.05]",0.04878048780487805,96.82888620864796,6,0
10,10,True,135,64.9499282836914,"[0.05, 0.05]",0.13043478260869565,98.20763791278901,6,0
11,11,True,150,76.56897735595703,"[0.05, 0.05]",0.0,98.05124609662008,6,0
12,12,True,163,66.9607162475586,"[0.05, 0.05]",0.21428571428571427,97.82067025471154,6,0
13,13,True,149,31.698366165161133,"[0.05, 0.05]",0.12,98.24650695479066,6,0
14,14,True,91,57.26563262939453,"[0.05, 0.05]",0.125,98.9384442697921,6,0
15,15,True,85,62.62620544433594,"[0.05, 0.05]",0.06666666666666667,99.01896405357203,6,0
16,16,True,72,49.823020935058594,"[0.05, 0.05]",0.0,99.0030059584777,6,0
17,17,True,108,39.372215270996094,"[0.05, 0.05]",0.2222222222222222,98.78695297319128,6,0
18,18,True,75,55.12313461303711,"[0.05, 0.05]",0.0,98.79476920595448,6,0
19,19,True,134,44.17936325073242,"[0.05, 0.05]",0.043478260869565216,98.22146117249908,6,0
20,20,True,245,40.1264533996582,"[0.05, 0.05]",0.14634146341463414,96.92719581153864,6,0
21,21,True,75,61.84083938598633,"[0.05, 0.05]",0.0,99.04121631981486,6,0
22,22,True,124,50.677921295166016,"[0.05, 0.05]",0.047619047619047616,98.39754595715253,6,0
23,23,True,110,47.332618713378906,"[0.05, 0.05]",0.21052631578947367,98.61875054087363,6,0
24,24,True,123,39.684654235839844,"[0.05, 0.05]",0.2857142857142857,98.71463038675158,6,0
25,25,True,147,56.1253662109375,"[0.05, 0.05]",0.08,98.26451076335431,6,0
26,26,True,86,49.431793212890625,"[0.05, 0.05]",0.06666666666666667,98.9640869163284,6,0
27,27,True,266,21.676321029663086,"[0.05, 0.05]",0.26666666666666666,97.2771208152398,6,0
28,28,True,155,34.08824157714844,"[0.05, 0.05]",0.11538461538461539,97.7447958742743,6,0
29,29,True,83,27.827848434448242,"[0.05, 0.05]",0.07142857142857142,98.89494017441864,6,0
30,30,True,221,25.96061134338379,"[0.05, 0.05]",0.1891891891891892,97.50597407716234,6,0
31,31,True,120,44.97501754760742,"[0.05, 0.05]",0.1,98.61038640358933,6,0
32,32,True,169,29.631200790405273,"[0.05, 0.05]",0.20689655172413793,98.18902493227259,6,0
33,33,True,82,42.26862335205078,"[0.05, 0.05]",0.14285714285714285,98.9983525439881,6,0
34,34,True,154,24.32320213317871,"[0.05, 0.05]",0.07692307692307693,97.84473589069695,6,0
35,35,True,83,41.156982421875,"[0.05, 0.05]",0.14285714285714285,99.06510571322984,6,0
36,36,True,114,39.18854522705078,"[0.05, 0.05]",0.05263157894736842,98.55729032002954,6,0
37,37,True,131,25.15522003173828,"[0.05, 0.05]",0.3181818181818182,98.77826331514119,6,0
38,38,True,86,32.62601852416992,"[0.05, 0.05]",0.2,98.9648808756625,6,0
39,39,True,235,24.477073669433594,"[0.05, 0.05]",0.1,96.7334752769771,6,0
40,40,True,78,32.11228561401367,"[0.05, 0.05]",0.07692307692307693,99.03355208252137,6,0
41,41,True,142,29.641695022583008,"[0.05, 0.05]",0.125,98.22881142990985,6,0
42,42,True,162,38.72581100463867,"[0.05, 0.05]",0.18518518518518517,98.09485908978321,6,0
43,43,True,125,34.67392349243164,"[0.05, 0.05]",0.09523809523809523,98.49826305672367,6,0
44,44,True,85,24.613685607910156,"[0.05, 0.05]",0.0,98.66869935325666,6,0
45,45,True,74,43.43791961669922,"[0.05, 0.05]",0.15384615384615385,99.00752241336461,6,0
46,46,True,162,36.64072799682617,"[0.05, 0.05]",0.18518518518518517,98.18041970656705,6,0
47,47,True,135,27.443923950195312,"[0.05, 0.05]",0.08695652173913043,98.36651746200351,6,0
48,48,True,77,27.65694236755371,"[0.05, 0.05]",0.07692307692307693,99.00858227176604,6,0
49,49,True,90,24.681888580322266,"[0.05, 0.05]",0.06666666666666667,98.8199401396724,6,0
50,50,True,82,30.58070945739746,"[0.05, 0.05]",0.14285714285714285,98.95838704368958,6,0
51,51,True,140,26.452037811279297,"[0.05, 0.05]",0.08333333333333333,98.17808991248594,6,0
52,52,True,119,27.587478637695312,"[0.05, 0.05]",0.1,98.46657519388813,6,0
53,53,True,83,34.920475006103516,"[0.05, 0.05]",0.14285714285714285,98.9776376504731,6,0
54,54,True,95,12.998411178588867,"[0.05, 0.05]",0.25,98.90802341785127,6,0
55,55,True,125,21.762109756469727,"[0.05, 0.05]",0.09523809523809523,98.34760108389648,6,0
56,56,True,142,20.610145568847656,"[0.05, 0.05]",0.125,98.25000242157063,6,0
57,57,True,155,19.76307487487793,"[0.05, 0.05]",0.2692307692307692,98.45601956370803,6,0
58,58,True,80,22.005001068115234,"[0.05, 0.05]",0.07142857142857142,98.8815997449241,6,0
59,59,True,181,14.453373908996582,"[0.05, 0.05]",0.25806451612903225,97.86188356153754,6,0
60,60,True,95,11.416542053222656,"[0.05, 0.05]",0.25,99.08068770024174,6,0
61,61,True,268,9.969924926757812,"[0.05, 0.05]",0.7111111111111111,98.66841718514114,6,0
62,62,True,116,17.259286880493164,"[0.05, 0.05]",0.1,98.3434388394012,6,0
63,63,True,80,16.48560333251953,"[0.05, 0.05]",0.07142857142857142,99.00214450829652,6,0
64,64,True,81,16.73609161376953,"[0.05, 0.05]",0.2857142857142857,99.05394429242557,6,0
65,65,True,92,16.551738739013672,"[0.05, 0.05]",0.125,98.84378478031414,6,0
66,66,True,146,14.600240707397461,"[0.05, 0.05]",0.16,98.15000333572516,6,0
67,67,True,98,14.045101165771484,"[0.05, 0.05]",0.29411764705882354,98.90240908561235,6,0
68,68,True,125,20.302946090698242,"[0.05, 0.05]",0.047619047619047616,98.3840554522054,6,0
69,69,True,138,15.396838188171387,"[0.05, 0.05]",0.391304347826087,98.73606950138658,6,0
70,70,True,223,18.58652687072754,"[0.05, 0.05]",0.21052631578947367,97.12401989939625,6,0
71,71,True,120,16.27419090270996,"[0.05, 0.05]",0.1,98.57354348124494,6,0
72,72,True,139,16.929786682128906,"[0.05, 0.05]",0.16666666666666666,98.10402737579975,6,0
73,73,True,169,18.34016990661621,"[0.05, 0.05]",0.2413793103448276,97.97370233663115,6,0
74,74,True,108,18.204782485961914,"[0.05, 0.05]",0.2222222222222222,98.82945377445543,6,0
75,75,True,85,17.16143035888672,"[0.05, 0.05]",0.13333333333333333,98.87545691427549,6,0
76,76,True,167,17.7524471282959,"[0.05, 0.05]",0.25,98.10696744202853,6,0
77,77,True,123,15.023587226867676,"[0.05, 0.05]",0.14285714285714285,98.57762438461191,6,0
78,78,True,117,9.581850051879883,"[0.05, 0.05]",0.15,98.56781944045522,6,0
79,79,True,85,14.977795600891113,"[0.05, 0.05]",0.13333333333333333,99.17974658279577,6,0
80,80,True,210,15.125325202941895,"[0.05, 0.05]",0.2,97.70826653901592,6,0
81,81,True,258,11.731021881103516,"[0.05, 0.05]",0.32558139534883723,97.15750318355565,6,0
82,82,True,116,16.85946273803711,"[0.05, 0.05]",0.1,98.5267473144021,6,0
83,83,True,105,16.323654174804688,"[0.05, 0.05]",0.2222222222222222,98.99847769657947,6,0
84,84,True,128,21.268909454345703,"[0.05, 0.05]",0.045454545454545456,98.3406046790176,6,0
85,85,True,114,19.965124130249023,"[0.05, 0.05]",0.10526315789473684,98.55218268223707,6,0
86,86,True,121,17.171316146850586,"[0.05, 0.05]",0.19047619047619047,98.85804701143394,6,0
87,87,True,79,11.45639419555664,"[0.05, 0.05]",0.21428571428571427,99.00931186726305,6,0
88,88,True,113,15.970909118652344,"[0.05, 0.05]",0.05263157894736842,98.52198963779749,6,0
