,episode,success,sim_steps,VFE_post_run,noise_stddev,percent_use_fast_thinking,total_reward,agent_time_ratio,agent_id
0,0,True,467,96.51624298095703,"[0.05, 0.05]",0.05128205128205128,94.0048308689517,6,0
1,1,True,268,75.27824401855469,"[0.05, 0.05]",0.0,96.19369323918862,6,0
2,2,True,293,93.5271224975586,"[0.05, 0.05]",0.04081632653061224,95.769282248899,6,0
3,3,True,76,73.96949768066406,"[0.05, 0.05]",0.0,98.93149449318493,6,0
4,4,True,86,60.62650680541992,"[0.05, 0.05]",0.0,98.6902570997954,6,0
5,5,True,318,74.44549560546875,"[0.05, 0.05]",0.0,95.61597910218768,6,0
6,6,True,158,60.10687255859375,"[0.05, 0.05]",0.07407407407407407,98.07739997120395,6,0
7,7,True,137,61.243927001953125,"[0.05, 0.05]",0.0,98.13934346243275,6,0
8,8,True,174,72.57841491699219,"[0.05, 0.05]",0.034482758620689655,97.83373104693375,6,0
9,9,True,128,52.77334213256836,"[0.05, 0.05]",0.22727272727272727,98.54745723304818,6,0
10,10,True,123,52.22885513305664,"[0.05, 0.05]",0.23809523809523808,98.74145542068752,6,0
11,11,True,102,44.19683837890625,"[0.05, 0.05]",0.17647058823529413,98.88815147335582,6,0
12,12,True,144,34.45323181152344,"[0.05, 0.05]",0.25,98.44191470610255,6,0
13,13,True,78,49.1091194152832,"[0.05, 0.05]",0.07692307692307693,98.98000363462101,6,0
14,14,True,187,73.68057250976562,"[0.05, 0.05]",0.0625,97.5836173524156,6,0
15,15,True,81,46.49187088012695,"[0.05, 0.05]",0.07142857142857142,98.89593095115188,6,0
16,16,True,150,68.88386535644531,"[0.05, 0.05]",0.0,97.99530905567855,6,0
17,17,True,76,45.97226333618164,"[0.05, 0.05]",0.0,99.07817590286707,6,0
18,18,True,105,28.493698120117188,"[0.05, 0.05]",0.2222222222222222,98.96585461385759,6,0
19,19,True,138,23.590368270874023,"[0.05, 0.05]",0.043478260869565216,98.23905137631371,6,0
