,episode,success,sim_steps,VFE_post_run,noise_stddev,percent_use_fast_thinking,total_reward,agent_time_ratio,agent_id
0,0,True,542,72.2481460571289,"[0.05, 0.05]",0.01098901098901099,93.04990765571722,6,0
1,1,True,80,87.37132263183594,"[0.05, 0.05]",0.0,98.85903824714394,6,0
2,2,True,96,88.55319213867188,"[0.05, 0.05]",0.0,98.64103558466847,6,0
3,3,True,546,45.14777755737305,"[0.05, 0.05]",0.06593406593406594,92.95184670141394,6,0
4,4,True,294,51.41608428955078,"[0.05, 0.05]",0.061224489795918366,96.33431283864354,6,0
5,5,True,323,53.085601806640625,"[0.05, 0.05]",0.14814814814814814,96.20917111393254,6,0
6,6,True,72,73.71794891357422,"[0.05, 0.05]",0.0,99.00201571193949,6,0
7,7,True,297,55.53644943237305,"[0.05, 0.05]",0.06,96.06130537258461,6,0
8,8,True,261,63.27329635620117,"[0.05, 0.05]",0.045454545454545456,96.79347772334536,6,0
9,9,True,81,69.56930541992188,"[0.05, 0.05]",0.0,99.00876173567265,6,0
10,10,True,273,50.261863708496094,"[0.05, 0.05]",0.043478260869565216,96.18021273388935,6,0
11,11,True,72,59.07468032836914,"[0.05, 0.05]",0.0,98.99148330262108,6,0
12,12,True,231,38.242645263671875,"[0.05, 0.05]",0.10256410256410256,96.94614327158304,6,0
13,13,True,113,70.97824096679688,"[0.05, 0.05]",0.21052631578947367,98.73953703154707,6,0
14,14,True,281,35.62081527709961,"[0.05, 0.05]",0.10638297872340426,96.376485451811,6,0
15,15,True,282,21.97211456298828,"[0.05, 0.05]",0.06382978723404255,96.07426805697763,6,0
16,16,True,96,50.63498306274414,"[0.05, 0.05]",0.0,98.64331473860813,6,0
17,17,True,194,44.68545913696289,"[0.05, 0.05]",0.09090909090909091,97.62025484046916,6,0
18,18,True,86,45.44091033935547,"[0.05, 0.05]",0.06666666666666667,98.85268534173038,6,0
19,19,True,214,46.05044937133789,"[0.05, 0.05]",0.05555555555555555,97.1950912869653,6,0
20,20,True,125,43.037960052490234,"[0.05, 0.05]",0.19047619047619047,98.57401768223022,6,0
21,21,True,83,35.34410095214844,"[0.05, 0.05]",0.07142857142857142,98.95321627100219,6,0
22,22,True,80,44.192440032958984,"[0.05, 0.05]",0.0,98.86607751950515,6,0
23,23,True,193,42.802879333496094,"[0.05, 0.05]",0.0,97.25334041914246,6,0
24,24,True,100,25.84781837463379,"[0.05, 0.05]",0.23529411764705882,98.92109485850055,6,0
25,25,True,83,29.020784378051758,"[0.05, 0.05]",0.07142857142857142,99.01646108610203,6,0
26,26,True,277,36.07401657104492,"[0.05, 0.05]",0.0425531914893617,96.9041734505431,6,0
27,27,True,304,24.964506149291992,"[0.05, 0.05]",0.0392156862745098,96.0303500778103,6,0
28,28,True,172,27.71112060546875,"[0.05, 0.05]",0.0,97.6078478837386,6,0
29,29,True,130,31.92007064819336,"[0.05, 0.05]",0.09090909090909091,98.50764477692272,6,0
30,30,True,74,27.423583984375,"[0.05, 0.05]",0.0,98.9766907907002,6,0
31,31,True,240,17.712947845458984,"[0.05, 0.05]",0.15,97.26227291640733,6,0
32,32,True,78,22.152254104614258,"[0.05, 0.05]",0.07692307692307693,99.15791009432596,6,0
33,33,True,304,24.194272994995117,"[0.05, 0.05]",0.11764705882352941,96.23978150681582,6,0
34,34,True,238,12.325716018676758,"[0.05, 0.05]",0.15,97.28570664300898,6,0
35,35,True,150,47.84616470336914,"[0.05, 0.05]",0.04,98.25265041576537,6,0
36,36,True,75,20.062829971313477,"[0.05, 0.05]",0.0,99.02850264876942,6,0
