,episode,success,sim_steps,VFE_post_run,noise_stddev,percent_use_fast_thinking,total_reward,agent_time_ratio,agent_id
0,0,True,543,54.52110290527344,"[0.05, 0.05]",0.0,-7.471007459675684,6,0
1,1,True,348,45.51283645629883,"[0.05, 0.05]",0.0,94.86783066097986,6,0
2,2,True,93,80.94534301757812,"[0.05, 0.05]",0.0,-1.3069351089891341,6,0
3,3,True,242,46.52081298828125,"[0.05, 0.05]",0.0,-3.3698483171620492,6,0
4,4,True,208,65.98849487304688,"[0.05, 0.05]",0.0,-2.7005737108015437,6,0
5,5,True,225,43.739105224609375,"[0.05, 0.05]",0.0,-3.0259806807607394,6,0
6,6,True,165,33.71586990356445,"[0.05, 0.05]",0.0,-2.2168571184996733,6,0
7,7,True,331,29.25071907043457,"[0.05, 0.05]",0.0,-4.849899239122495,6,0
8,8,True,153,25.15378761291504,"[0.05, 0.05]",0.0,-2.2346193063749284,6,0
9,9,True,200,25.113037109375,"[0.05, 0.05]",0.0,-2.9217606662217057,6,0
10,10,True,154,62.23783874511719,"[0.05, 0.05]",0.0,-2.1647452848989377,6,0
11,11,True,81,38.63977813720703,"[0.05, 0.05]",0.0,-1.0604302932536165,6,0
12,12,True,197,41.191062927246094,"[0.05, 0.05]",0.0,-2.672241666609366,6,0
13,13,True,113,30.703222274780273,"[0.05, 0.05]",0.0,-1.5891317440334687,6,0
14,14,True,67,51.34172439575195,"[0.05, 0.05]",0.0,-0.9947921175850695,6,0
15,15,True,167,53.62623977661133,"[0.05, 0.05]",0.0,-2.305345628625095,6,0
16,16,True,544,19.677831649780273,"[0.05, 0.05]",0.0,-7.83791916602613,6,0
17,17,True,181,40.475379943847656,"[0.05, 0.05]",0.0,-2.6940795538238476,6,0
18,18,True,517,11.010631561279297,"[0.05, 0.05]",0.0,-7.6268167783243594,6,0
19,19,True,120,64.25596618652344,"[0.05, 0.05]",0.0,98.23518339754146,6,0
20,20,True,95,40.49455261230469,"[0.05, 0.05]",0.0,-1.2533349540275454,6,0
21,21,True,73,21.734548568725586,"[0.05, 0.05]",0.0,-1.0439579040154239,6,0
22,22,True,136,30.897008895874023,"[0.05, 0.05]",0.0,-1.8493292353267003,6,0
23,23,True,727,19.410118103027344,"[0.05, 0.05]",0.0,-10.840482338553837,6,0
24,24,True,497,9.18378734588623,"[0.05, 0.05]",0.0,-7.206389843841235,6,0
25,25,True,135,19.229841232299805,"[0.05, 0.05]",0.0,-1.9858195087394226,6,0
26,26,True,217,30.4790096282959,"[0.05, 0.05]",0.0,-2.9983140266798944,6,0
27,27,True,69,17.579301834106445,"[0.05, 0.05]",0.0,-0.8653652493476164,6,0
28,28,True,116,29.489681243896484,"[0.05, 0.05]",0.0,-1.5438647293059518,6,0
29,29,True,147,33.55140686035156,"[0.05, 0.05]",0.0,-1.927252614414113,6,0
30,30,True,133,28.021150588989258,"[0.05, 0.05]",0.0,-1.6195037425998549,6,0
31,31,True,136,21.0576171875,"[0.05, 0.05]",0.0,-1.7734898839617892,6,0
32,32,True,88,10.425114631652832,"[0.05, 0.05]",0.0,-0.8569740064433871,6,0
33,33,True,132,16.440105438232422,"[0.05, 0.05]",0.0,98.22072626763672,6,0
34,34,True,163,15.011199951171875,"[0.05, 0.05]",0.0,-2.0915830864355596,6,0
35,35,True,100,13.053497314453125,"[0.05, 0.05]",0.0,-1.2164319116136681,6,0
36,36,True,146,7.726863861083984,"[0.05, 0.05]",0.0,-1.849371305343335,6,0
37,37,True,116,8.631620407104492,"[0.05, 0.05]",0.0,-1.697119776927748,6,0
38,38,True,201,5.860689163208008,"[0.05, 0.05]",0.0,-3.0265955043060266,6,0
39,39,True,118,12.358648300170898,"[0.05, 0.05]",0.0,-1.6672305407393315,6,0
40,40,True,118,11.475329399108887,"[0.05, 0.05]",0.0,-1.4949803048275236,6,0
41,41,True,205,5.631651401519775,"[0.05, 0.05]",0.0,-2.6875578670017553,6,0
42,42,True,290,5.2020087242126465,"[0.05, 0.05]",0.0,-4.408773096961198,6,0
43,43,True,123,9.830514907836914,"[0.05, 0.05]",0.0,-1.731231162839578,6,0
44,44,True,119,7.082157135009766,"[0.05, 0.05]",0.0,-1.717066485550978,6,0
45,45,True,117,7.995058536529541,"[0.05, 0.05]",0.0,-1.625988912477209,6,0
46,46,True,528,4.229732036590576,"[0.05, 0.05]",0.0,91.9007506753013,6,0
47,47,True,117,10.610552787780762,"[0.05, 0.05]",0.0,-1.5803231695636981,6,0
48,48,True,132,9.742218971252441,"[0.05, 0.05]",0.0,98.25232490435842,6,0
49,49,True,147,8.665547370910645,"[0.05, 0.05]",0.0,-1.8060565099697763,6,0
50,50,True,112,9.836172103881836,"[0.05, 0.05]",0.0,-1.4559644221101347,6,0
51,51,True,785,3.378988265991211,"[0.05, 0.05]",0.0,-11.915303036022348,6,0
52,52,True,401,6.879913806915283,"[0.05, 0.05]",0.0,-5.868157410684553,6,0
53,53,True,121,7.100881099700928,"[0.05, 0.05]",0.0,-1.646231540755571,6,0
54,54,True,607,3.8692824840545654,"[0.05, 0.05]",0.0,-9.238704694209416,6,0
55,55,True,383,6.0144195556640625,"[0.05, 0.05]",0.0,-5.3555857938894516,6,0
56,56,True,372,5.12611722946167,"[0.05, 0.05]",0.0,94.6635982539981,6,0
