,episode,success,sim_steps,VFE_post_run,noise_stddev,percent_use_fast_thinking,total_reward,agent_time_ratio,agent_id
0,0,False,999,71.45075225830078,"[0.05, 0.05]",0.0,-14.092657964951986,6,0
1,1,True,229,52.22020721435547,"[0.05, 0.05]",0.0,96.52753737437074,6,0
2,2,True,272,47.70001220703125,"[0.05, 0.05]",0.0,96.41979001017079,6,0
3,3,True,594,45.79549789428711,"[0.05, 0.05]",0.0,90.30860087980372,6,0
4,4,True,160,101.34989166259766,"[0.05, 0.05]",0.0,97.95812650775785,6,0
5,5,True,320,99.74708557128906,"[0.05, 0.05]",0.0,95.3858297615314,6,0
6,6,True,239,89.74398803710938,"[0.05, 0.05]",0.0,96.85457268101807,6,0
7,7,True,120,68.00996398925781,"[0.05, 0.05]",0.0,98.27444018947347,6,0
8,8,True,146,130.8733673095703,"[0.05, 0.05]",0.0,97.42738202836776,6,0
9,9,True,94,63.7911376953125,"[0.05, 0.05]",0.0,98.69190381139545,6,0
10,10,True,274,101.05953979492188,"[0.05, 0.05]",0.0,96.35331833544899,6,0
11,11,True,111,94.33692932128906,"[0.05, 0.05]",0.0,98.42344680485236,6,0
12,12,True,243,111.21715545654297,"[0.05, 0.05]",0.0,96.8146004128641,6,0
13,13,True,207,79.33060455322266,"[0.05, 0.05]",0.0,97.24993664361337,6,0
14,14,True,113,88.43046569824219,"[0.05, 0.05]",0.0,98.5283392104114,6,0
15,15,True,531,101.52223205566406,"[0.05, 0.05]",0.0,92.93227694389546,6,0
16,16,True,88,72.31913757324219,"[0.05, 0.05]",0.0,99.04375740841748,6,0
17,17,True,165,81.11466217041016,"[0.05, 0.05]",0.0,97.5918771324856,6,0
18,18,True,562,94.49626922607422,"[0.05, 0.05]",0.0,93.31997161097074,6,0
19,19,False,999,83.25350189208984,"[0.05, 0.05]",0.0,-13.18559180603255,6,0
20,20,False,999,78.59532165527344,"[0.05, 0.05]",0.0,-12.041465827671024,6,0
21,21,False,999,78.0235824584961,"[0.05, 0.05]",0.0,-12.956172974273708,6,0
22,22,False,999,53.68492889404297,"[0.05, 0.05]",0.0,-13.914362084283855,6,0
23,23,False,999,83.37273406982422,"[0.05, 0.05]",0.0,-13.920524532719288,6,0
24,24,False,999,76.51800537109375,"[0.05, 0.05]",0.0,-13.562374068325273,6,0
25,25,False,999,82.01578521728516,"[0.05, 0.05]",0.0,-13.428679240759084,6,0
26,26,False,999,73.15226745605469,"[0.05, 0.05]",0.0,-13.517842706308027,6,0
27,27,False,999,48.573707580566406,"[0.05, 0.05]",0.0,-14.68729546915602,6,0
28,28,False,999,58.903961181640625,"[0.05, 0.05]",0.0,-14.894337757359729,6,0
29,29,False,999,77.88771057128906,"[0.05, 0.05]",0.0,-14.723248892787907,6,0
30,30,True,623,55.641021728515625,"[0.05, 0.05]",0.0,90.8362178333847,6,0
31,31,True,210,89.92377471923828,"[0.05, 0.05]",0.0,96.9716650615823,6,0
32,32,True,295,72.69267272949219,"[0.05, 0.05]",0.0,95.93165731641044,6,0
33,33,True,363,81.8157730102539,"[0.05, 0.05]",0.0,94.66469496095888,6,0
34,34,True,94,110.84693145751953,"[0.05, 0.05]",0.0,98.5239457477436,6,0
35,35,True,312,81.77589416503906,"[0.05, 0.05]",0.0,95.37238638509052,6,0
36,36,True,243,81.15138244628906,"[0.05, 0.05]",0.0,96.34898816881869,6,0
