episode,success,sim_steps,VFE_post_run,noise_stddev,agent_num
0,True,221,64.9435806274414,"[0.05, 0.05]",3
1,True,226,74.81465911865234,"[0.05, 0.05]",3
2,True,875,36.161624908447266,"[0.05, 0.05]",3
3,False,999,17.179550170898438,"[0.05, 0.05]",3
4,True,471,37.00315856933594,"[0.05, 0.05]",3
5,True,600,45.485294342041016,"[0.05, 0.05]",3
6,True,315,28.67936897277832,"[0.05, 0.05]",3
7,True,403,20.448287963867188,"[0.05, 0.05]",3
8,True,311,18.79220199584961,"[0.05, 0.05]",3
9,True,118,33.091094970703125,"[0.05, 0.05]",3
10,True,434,24.707855224609375,"[0.05, 0.05]",3
11,True,397,10.834943771362305,"[0.05, 0.05]",3
12,True,193,9.056514739990234,"[0.05, 0.05]",3
13,True,284,7.480528354644775,"[0.05, 0.05]",3
14,True,700,8.55272102355957,"[0.05, 0.05]",3
15,True,158,7.872071743011475,"[0.05, 0.05]",3
16,True,254,5.85416316986084,"[0.05, 0.05]",3
17,True,490,5.217073917388916,"[0.05, 0.05]",3
18,True,455,6.764880657196045,"[0.05, 0.05]",3
19,True,233,7.007030487060547,"[0.05, 0.05]",3
20,True,169,6.863441467285156,"[0.05, 0.05]",3
21,True,160,5.823938846588135,"[0.05, 0.05]",3
22,True,107,5.206265926361084,"[0.05, 0.05]",3
23,True,222,4.907757759094238,"[0.05, 0.05]",3
24,True,321,5.5574116706848145,"[0.05, 0.05]",3
25,True,193,5.52734899520874,"[0.05, 0.05]",3
26,True,185,5.272092819213867,"[0.05, 0.05]",3
27,True,124,5.269168853759766,"[0.05, 0.05]",3
28,True,337,5.580051422119141,"[0.05, 0.05]",3
29,True,265,5.159832954406738,"[0.05, 0.05]",3
30,True,252,5.528807640075684,"[0.05, 0.05]",3
31,True,219,6.039625644683838,"[0.05, 0.05]",3
32,True,292,5.796957969665527,"[0.05, 0.05]",3
33,True,216,4.919528961181641,"[0.05, 0.05]",3
34,True,165,5.07992696762085,"[0.05, 0.05]",3
35,True,420,5.761851787567139,"[0.05, 0.05]",3
36,True,300,5.465583801269531,"[0.05, 0.05]",3
37,True,391,4.678122520446777,"[0.05, 0.05]",3
38,True,220,5.416056156158447,"[0.05, 0.05]",3
39,True,503,5.6960625648498535,"[0.05, 0.05]",3
0,False,999,52.05596923828125,"[0.05, 0.05]",9
1,False,999,41.455589294433594,"[0.05, 0.05]",9
2,False,999,18.763463973999023,"[0.05, 0.05]",9
3,True,316,12.585268020629883,"[0.05, 0.05]",9
4,True,324,8.200674057006836,"[0.05, 0.05]",9
5,True,221,9.841008186340332,"[0.05, 0.05]",9
6,True,252,6.914496898651123,"[0.05, 0.05]",9
7,True,167,7.129619121551514,"[0.05, 0.05]",9
8,True,188,10.102200508117676,"[0.05, 0.05]",9
9,True,311,8.088698387145996,"[0.05, 0.05]",9
10,True,316,12.975663185119629,"[0.05, 0.05]",9
11,True,175,6.117571830749512,"[0.05, 0.05]",9
12,True,201,7.9393157958984375,"[0.05, 0.05]",9
13,True,276,10.508818626403809,"[0.05, 0.05]",9
14,True,356,8.874783515930176,"[0.05, 0.05]",9
15,True,330,5.3169660568237305,"[0.05, 0.05]",9
16,True,214,6.497153282165527,"[0.05, 0.05]",9
17,True,304,5.493326187133789,"[0.05, 0.05]",9
18,True,356,4.790435791015625,"[0.05, 0.05]",9
19,True,215,7.3874969482421875,"[0.05, 0.05]",9
20,True,278,6.915083885192871,"[0.05, 0.05]",9
21,True,555,5.189090251922607,"[0.05, 0.05]",9
22,True,183,5.403723239898682,"[0.05, 0.05]",9
23,True,191,5.979678630828857,"[0.05, 0.05]",9
24,True,143,6.80726432800293,"[0.05, 0.05]",9
25,True,329,8.16372013092041,"[0.05, 0.05]",9
26,True,480,5.520103454589844,"[0.05, 0.05]",9
27,True,148,6.185219764709473,"[0.05, 0.05]",9
28,True,758,4.386294364929199,"[0.05, 0.05]",9
29,True,356,6.211954593658447,"[0.05, 0.05]",9
30,True,164,5.449757099151611,"[0.05, 0.05]",9
31,True,278,5.7163262367248535,"[0.05, 0.05]",9
32,True,175,4.716161727905273,"[0.05, 0.05]",9
33,True,431,4.396027565002441,"[0.05, 0.05]",9
34,True,783,4.22096061706543,"[0.05, 0.05]",9
35,True,417,5.214056015014648,"[0.05, 0.05]",9
36,True,333,5.7228875160217285,"[0.05, 0.05]",9
37,True,369,4.938101768493652,"[0.05, 0.05]",9
38,True,353,4.896428108215332,"[0.05, 0.05]",9
39,True,579,4.111913681030273,"[0.05, 0.05]",9
0,False,999,50.39259719848633,"[0.05, 0.05]",6
1,False,999,9.740714073181152,"[0.05, 0.05]",6
2,False,999,44.08993911743164,"[0.05, 0.05]",6
3,False,999,14.928274154663086,"[0.05, 0.05]",6
4,True,295,16.122220993041992,"[0.05, 0.05]",6
5,True,292,12.578089714050293,"[0.05, 0.05]",6
6,True,334,6.6808600425720215,"[0.05, 0.05]",6
7,True,257,12.169100761413574,"[0.05, 0.05]",6
8,True,856,7.998564720153809,"[0.05, 0.05]",6
9,True,127,7.801272869110107,"[0.05, 0.05]",6
10,True,179,7.833146095275879,"[0.05, 0.05]",6
11,True,549,6.198184967041016,"[0.05, 0.05]",6
12,True,159,8.535541534423828,"[0.05, 0.05]",6
13,True,320,5.898571014404297,"[0.05, 0.05]",6
14,True,305,7.548642635345459,"[0.05, 0.05]",6
15,True,208,5.572272777557373,"[0.05, 0.05]",6
16,True,170,6.768411636352539,"[0.05, 0.05]",6
17,True,532,4.937054634094238,"[0.05, 0.05]",6
18,True,506,6.138089179992676,"[0.05, 0.05]",6
19,True,796,4.425541877746582,"[0.05, 0.05]",6
20,True,390,4.502348899841309,"[0.05, 0.05]",6
21,True,760,4.190728664398193,"[0.05, 0.05]",6
22,True,241,5.666420936584473,"[0.05, 0.05]",6
23,True,321,4.131414413452148,"[0.05, 0.05]",6
24,True,140,5.02532958984375,"[0.05, 0.05]",6
25,True,167,5.437957286834717,"[0.05, 0.05]",6
26,False,999,3.85326886177063,"[0.05, 0.05]",6
27,True,241,5.338822364807129,"[0.05, 0.05]",6
28,True,632,4.736944198608398,"[0.05, 0.05]",6
29,True,466,5.234777450561523,"[0.05, 0.05]",6
30,True,508,5.279267311096191,"[0.05, 0.05]",6
31,False,999,4.4149675369262695,"[0.05, 0.05]",6
32,False,999,5.5724310874938965,"[0.05, 0.05]",6
33,True,508,4.6085052490234375,"[0.05, 0.05]",6
34,True,452,4.479512691497803,"[0.05, 0.05]",6
35,True,744,4.586709022521973,"[0.05, 0.05]",6
36,False,999,3.7798879146575928,"[0.05, 0.05]",6
37,True,450,5.040396690368652,"[0.05, 0.05]",6
38,True,371,5.156032562255859,"[0.05, 0.05]",6
39,True,677,4.316932678222656,"[0.05, 0.05]",6
0,False,999,29.3497371673584,"[0.05, 0.05]",5
1,True,380,35.86945724487305,"[0.05, 0.05]",5
2,True,388,31.21240234375,"[0.05, 0.05]",5
3,True,187,39.492340087890625,"[0.05, 0.05]",5
4,True,403,14.782125473022461,"[0.05, 0.05]",5
5,True,361,14.068194389343262,"[0.05, 0.05]",5
6,False,999,6.064610481262207,"[0.05, 0.05]",5
7,True,405,5.399240016937256,"[0.05, 0.05]",5
8,True,423,6.024075031280518,"[0.05, 0.05]",5
9,True,254,8.009363174438477,"[0.05, 0.05]",5
10,True,397,9.777472496032715,"[0.05, 0.05]",5
11,True,231,7.875620365142822,"[0.05, 0.05]",5
12,True,570,6.7124176025390625,"[0.05, 0.05]",5
13,True,751,5.21658992767334,"[0.05, 0.05]",5
14,True,572,4.347502708435059,"[0.05, 0.05]",5
15,True,480,6.988571643829346,"[0.05, 0.05]",5
16,True,281,5.742786407470703,"[0.05, 0.05]",5
17,False,999,3.373141288757324,"[0.05, 0.05]",5
18,True,178,5.551262855529785,"[0.05, 0.05]",5
19,True,456,4.932315349578857,"[0.05, 0.05]",5
20,True,255,5.146230220794678,"[0.05, 0.05]",5
21,True,849,4.246753215789795,"[0.05, 0.05]",5
22,True,956,4.653192043304443,"[0.05, 0.05]",5
23,False,999,4.4798264503479,"[0.05, 0.05]",5
24,True,355,4.842648029327393,"[0.05, 0.05]",5
25,True,371,4.30610990524292,"[0.05, 0.05]",5
26,True,298,4.747827053070068,"[0.05, 0.05]",5
27,True,956,4.378262042999268,"[0.05, 0.05]",5
28,True,362,4.8144989013671875,"[0.05, 0.05]",5
29,True,388,5.2379302978515625,"[0.05, 0.05]",5
30,True,469,4.92048978805542,"[0.05, 0.05]",5
31,True,133,5.57436466217041,"[0.05, 0.05]",5
32,False,999,4.197977066040039,"[0.05, 0.05]",5
33,False,999,4.160804271697998,"[0.05, 0.05]",5
34,True,408,4.437097549438477,"[0.05, 0.05]",5
35,True,627,4.81382942199707,"[0.05, 0.05]",5
36,True,256,5.065177917480469,"[0.05, 0.05]",5
37,True,555,4.6481428146362305,"[0.05, 0.05]",5
38,False,999,4.667470455169678,"[0.05, 0.05]",5
39,True,298,4.821199893951416,"[0.05, 0.05]",5
0,False,999,36.154537200927734,"[0.05, 0.05]",4
1,False,999,26.37826919555664,"[0.05, 0.05]",4
2,True,601,12.62252426147461,"[0.05, 0.05]",4
3,True,312,11.425006866455078,"[0.05, 0.05]",4
4,True,269,11.047772407531738,"[0.05, 0.05]",4
5,True,631,9.089192390441895,"[0.05, 0.05]",4
6,True,662,6.320285797119141,"[0.05, 0.05]",4
7,True,235,6.889499664306641,"[0.05, 0.05]",4
8,True,306,7.202237129211426,"[0.05, 0.05]",4
9,True,321,6.1681952476501465,"[0.05, 0.05]",4
10,True,461,4.973990440368652,"[0.05, 0.05]",4
11,True,351,6.429030895233154,"[0.05, 0.05]",4
12,True,590,6.227758884429932,"[0.05, 0.05]",4
13,True,641,4.244638919830322,"[0.05, 0.05]",4
14,True,198,5.55909538269043,"[0.05, 0.05]",4
15,True,283,5.000890731811523,"[0.05, 0.05]",4
16,True,452,5.6677565574646,"[0.05, 0.05]",4
17,True,313,6.2528767585754395,"[0.05, 0.05]",4
18,True,161,6.206928253173828,"[0.05, 0.05]",4
19,True,241,4.92612886428833,"[0.05, 0.05]",4
20,True,205,5.303808212280273,"[0.05, 0.05]",4
21,True,282,4.4403486251831055,"[0.05, 0.05]",4
22,True,206,5.587033271789551,"[0.05, 0.05]",4
23,True,648,4.8779497146606445,"[0.05, 0.05]",4
24,True,261,4.803802490234375,"[0.05, 0.05]",4
25,True,615,4.859420299530029,"[0.05, 0.05]",4
26,True,799,4.247913837432861,"[0.05, 0.05]",4
27,True,660,5.568786144256592,"[0.05, 0.05]",4
28,True,892,4.889075756072998,"[0.05, 0.05]",4
29,True,695,4.657778263092041,"[0.05, 0.05]",4
30,True,968,5.010657787322998,"[0.05, 0.05]",4
31,True,409,4.60438346862793,"[0.05, 0.05]",4
32,True,535,5.917596817016602,"[0.05, 0.05]",4
33,True,619,4.778143405914307,"[0.05, 0.05]",4
34,False,999,4.130064964294434,"[0.05, 0.05]",4
35,True,515,4.330103397369385,"[0.05, 0.05]",4
36,False,999,3.8075757026672363,"[0.05, 0.05]",4
37,True,761,4.129289150238037,"[0.05, 0.05]",4
38,False,999,3.7104475498199463,"[0.05, 0.05]",4
39,True,599,5.310513019561768,"[0.05, 0.05]",4
0,False,999,32.80504608154297,"[0.05, 0.05]",7
1,False,999,23.780027389526367,"[0.05, 0.05]",7
2,True,680,19.245891571044922,"[0.05, 0.05]",7
3,True,464,14.570595741271973,"[0.05, 0.05]",7
4,True,498,13.683537483215332,"[0.05, 0.05]",7
5,True,269,6.247799396514893,"[0.05, 0.05]",7
6,True,318,7.311100959777832,"[0.05, 0.05]",7
7,True,307,12.93305492401123,"[0.05, 0.05]",7
8,True,367,5.148301124572754,"[0.05, 0.05]",7
9,True,146,8.335244178771973,"[0.05, 0.05]",7
10,True,257,7.9516119956970215,"[0.05, 0.05]",7
11,True,290,6.498869895935059,"[0.05, 0.05]",7
12,True,631,6.075372219085693,"[0.05, 0.05]",7
13,True,680,4.5422515869140625,"[0.05, 0.05]",7
14,True,942,5.210594654083252,"[0.05, 0.05]",7
15,True,752,4.85840368270874,"[0.05, 0.05]",7
16,False,999,3.476940870285034,"[0.05, 0.05]",7
17,True,209,5.75858211517334,"[0.05, 0.05]",7
18,True,219,4.96419620513916,"[0.05, 0.05]",7
19,True,202,5.890801906585693,"[0.05, 0.05]",7
20,True,818,4.154941558837891,"[0.05, 0.05]",7
21,True,735,5.5578532218933105,"[0.05, 0.05]",7
22,True,871,3.979626178741455,"[0.05, 0.05]",7
23,True,290,5.237557411193848,"[0.05, 0.05]",7
24,True,179,4.859841346740723,"[0.05, 0.05]",7
25,True,730,4.3233137130737305,"[0.05, 0.05]",7
26,False,999,3.6705329418182373,"[0.05, 0.05]",7
27,True,306,5.558734893798828,"[0.05, 0.05]",7
28,True,778,4.804853439331055,"[0.05, 0.05]",7
29,True,661,4.778903961181641,"[0.05, 0.05]",7
30,False,999,5.206387996673584,"[0.05, 0.05]",7
31,False,999,3.569013833999634,"[0.05, 0.05]",7
32,True,285,5.0030317306518555,"[0.05, 0.05]",7
33,True,769,4.385056972503662,"[0.05, 0.05]",7
34,False,999,4.055794715881348,"[0.05, 0.05]",7
35,True,395,5.158987998962402,"[0.05, 0.05]",7
36,True,422,5.08936071395874,"[0.05, 0.05]",7
37,True,258,5.090147495269775,"[0.05, 0.05]",7
38,True,483,4.2622857093811035,"[0.05, 0.05]",7
39,True,201,4.310270309448242,"[0.05, 0.05]",7
0,True,891,30.28765106201172,"[0.05, 0.05]",0
1,True,530,41.920616149902344,"[0.05, 0.05]",0
2,True,792,34.23410415649414,"[0.05, 0.05]",0
3,True,449,12.80580997467041,"[0.05, 0.05]",0
4,True,278,19.628047943115234,"[0.05, 0.05]",0
5,True,218,13.899531364440918,"[0.05, 0.05]",0
6,True,358,11.255718231201172,"[0.05, 0.05]",0
7,True,180,10.470561981201172,"[0.05, 0.05]",0
8,True,352,9.223777770996094,"[0.05, 0.05]",0
9,True,320,10.471040725708008,"[0.05, 0.05]",0
10,True,276,6.390785217285156,"[0.05, 0.05]",0
11,True,149,4.980698585510254,"[0.05, 0.05]",0
12,True,274,5.337874889373779,"[0.05, 0.05]",0
13,True,298,6.856593608856201,"[0.05, 0.05]",0
14,True,296,9.927064895629883,"[0.05, 0.05]",0
15,False,999,3.512892723083496,"[0.05, 0.05]",0
16,True,560,5.143100261688232,"[0.05, 0.05]",0
17,False,999,5.885496139526367,"[0.05, 0.05]",0
18,False,999,3.660827875137329,"[0.05, 0.05]",0
19,True,461,6.076699256896973,"[0.05, 0.05]",0
20,True,260,5.302123546600342,"[0.05, 0.05]",0
21,True,442,4.437062740325928,"[0.05, 0.05]",0
22,True,935,4.370934009552002,"[0.05, 0.05]",0
23,True,400,6.281374454498291,"[0.05, 0.05]",0
24,True,815,5.518337249755859,"[0.05, 0.05]",0
25,True,909,5.311009883880615,"[0.05, 0.05]",0
26,True,450,4.728598594665527,"[0.05, 0.05]",0
27,True,976,4.220366477966309,"[0.05, 0.05]",0
28,False,999,4.535998344421387,"[0.05, 0.05]",0
29,True,462,5.424564838409424,"[0.05, 0.05]",0
30,False,999,4.488194465637207,"[0.05, 0.05]",0
31,False,999,4.110046863555908,"[0.05, 0.05]",0
32,True,489,5.335162162780762,"[0.05, 0.05]",0
33,True,998,4.15765380859375,"[0.05, 0.05]",0
34,True,529,4.983541488647461,"[0.05, 0.05]",0
35,True,367,4.7870049476623535,"[0.05, 0.05]",0
36,True,344,4.7673258781433105,"[0.05, 0.05]",0
37,False,999,4.527113914489746,"[0.05, 0.05]",0
38,True,335,5.1212687492370605,"[0.05, 0.05]",0
39,True,685,4.634081840515137,"[0.05, 0.05]",0
0,False,999,60.465980529785156,"[0.05, 0.05]",8
1,True,478,38.32581329345703,"[0.05, 0.05]",8
2,True,670,46.35021209716797,"[0.05, 0.05]",8
3,True,177,31.29753875732422,"[0.05, 0.05]",8
4,True,280,23.334346771240234,"[0.05, 0.05]",8
5,True,329,47.31639862060547,"[0.05, 0.05]",8
6,True,266,37.389892578125,"[0.05, 0.05]",8
7,False,999,14.509440422058105,"[0.05, 0.05]",8
8,True,319,17.7468318939209,"[0.05, 0.05]",8
9,True,317,11.07611083984375,"[0.05, 0.05]",8
10,True,440,9.886295318603516,"[0.05, 0.05]",8
11,True,532,7.625410079956055,"[0.05, 0.05]",8
12,True,365,6.768279552459717,"[0.05, 0.05]",8
13,True,701,5.390138626098633,"[0.05, 0.05]",8
14,True,219,7.774353981018066,"[0.05, 0.05]",8
15,False,999,5.137009620666504,"[0.05, 0.05]",8
16,False,999,5.5175652503967285,"[0.05, 0.05]",8
17,False,999,4.9055938720703125,"[0.05, 0.05]",8
18,False,999,5.369968414306641,"[0.05, 0.05]",8
