episode,success,sim_steps,VFE_post_run,noise_stddev,agent_num
0,True,757,73.33285522460938,"[0.05, 0.05]",5
1,True,391,42.85169219970703,"[0.05, 0.05]",5
2,True,209,50.095848083496094,"[0.05, 0.05]",5
3,True,369,45.336727142333984,"[0.05, 0.05]",5
4,True,202,25.792556762695312,"[0.05, 0.05]",5
5,True,135,22.66185760498047,"[0.05, 0.05]",5
6,True,302,24.286287307739258,"[0.05, 0.05]",5
7,True,246,17.501604080200195,"[0.05, 0.05]",5
8,True,261,21.55589485168457,"[0.05, 0.05]",5
9,True,247,20.012590408325195,"[0.05, 0.05]",5
10,False,999,5.315485000610352,"[0.05, 0.05]",5
11,True,106,15.484317779541016,"[0.05, 0.05]",5
12,True,411,9.938971519470215,"[0.05, 0.05]",5
13,True,200,11.952564239501953,"[0.05, 0.05]",5
14,True,245,9.68772029876709,"[0.05, 0.05]",5
15,True,300,7.396753311157227,"[0.05, 0.05]",5
16,True,342,7.026863098144531,"[0.05, 0.05]",5
17,True,202,9.337335586547852,"[0.05, 0.05]",5
18,True,597,5.893488883972168,"[0.05, 0.05]",5
19,True,308,11.054451942443848,"[0.05, 0.05]",5
20,True,204,7.160926342010498,"[0.05, 0.05]",5
21,True,539,7.275408744812012,"[0.05, 0.05]",5
22,True,295,6.199831962585449,"[0.05, 0.05]",5
23,True,413,7.375207424163818,"[0.05, 0.05]",5
24,False,999,3.6711173057556152,"[0.05, 0.05]",5
25,True,284,6.011113166809082,"[0.05, 0.05]",5
26,True,439,4.275256633758545,"[0.05, 0.05]",5
27,True,241,4.917351722717285,"[0.05, 0.05]",5
28,True,316,5.168234825134277,"[0.05, 0.05]",5
29,True,272,5.001790523529053,"[0.05, 0.05]",5
30,True,494,4.8814377784729,"[0.05, 0.05]",5
31,True,642,4.904726505279541,"[0.05, 0.05]",5
32,True,446,4.827577590942383,"[0.05, 0.05]",5
33,True,654,7.466055393218994,"[0.05, 0.05]",5
34,True,366,5.201073169708252,"[0.05, 0.05]",5
35,True,408,4.871304512023926,"[0.05, 0.05]",5
36,False,999,3.6922414302825928,"[0.05, 0.05]",5
37,True,534,4.81054162979126,"[0.05, 0.05]",5
38,False,999,4.0747809410095215,"[0.05, 0.05]",5
39,False,999,3.6597580909729004,"[0.05, 0.05]",5
0,True,841,56.9002799987793,"[0.05, 0.05]",4
1,False,999,30.170312881469727,"[0.05, 0.05]",4
2,True,126,36.867679595947266,"[0.05, 0.05]",4
3,True,771,15.076179504394531,"[0.05, 0.05]",4
4,True,256,19.351200103759766,"[0.05, 0.05]",4
5,True,438,10.272226333618164,"[0.05, 0.05]",4
6,True,657,7.226770401000977,"[0.05, 0.05]",4
7,True,207,9.11048698425293,"[0.05, 0.05]",4
8,True,242,12.913997650146484,"[0.05, 0.05]",4
9,True,282,10.048189163208008,"[0.05, 0.05]",4
10,True,558,5.413741588592529,"[0.05, 0.05]",4
11,True,217,6.357626438140869,"[0.05, 0.05]",4
12,True,360,5.929540634155273,"[0.05, 0.05]",4
13,True,446,7.4844560623168945,"[0.05, 0.05]",4
14,True,227,5.443803787231445,"[0.05, 0.05]",4
15,True,194,6.436643123626709,"[0.05, 0.05]",4
16,True,440,5.724015235900879,"[0.05, 0.05]",4
17,True,143,4.888707160949707,"[0.05, 0.05]",4
18,True,589,4.881659984588623,"[0.05, 0.05]",4
19,True,188,5.098201751708984,"[0.05, 0.05]",4
20,True,502,6.66840934753418,"[0.05, 0.05]",4
21,True,520,4.378323554992676,"[0.05, 0.05]",4
22,True,421,5.100983619689941,"[0.05, 0.05]",4
23,True,743,4.719494342803955,"[0.05, 0.05]",4
24,True,607,4.824342727661133,"[0.05, 0.05]",4
25,True,456,4.956692695617676,"[0.05, 0.05]",4
26,True,337,5.87640380859375,"[0.05, 0.05]",4
27,True,214,4.359534740447998,"[0.05, 0.05]",4
28,True,910,4.474343776702881,"[0.05, 0.05]",4
29,True,367,4.772895812988281,"[0.05, 0.05]",4
30,True,195,4.801446914672852,"[0.05, 0.05]",4
31,True,275,4.981853485107422,"[0.05, 0.05]",4
32,True,687,4.2568182945251465,"[0.05, 0.05]",4
33,True,290,5.034825325012207,"[0.05, 0.05]",4
34,True,576,4.210331439971924,"[0.05, 0.05]",4
35,True,346,5.663990497589111,"[0.05, 0.05]",4
36,True,654,5.25711727142334,"[0.05, 0.05]",4
37,True,510,4.383920192718506,"[0.05, 0.05]",4
38,True,331,4.879984378814697,"[0.05, 0.05]",4
39,True,466,4.846339225769043,"[0.05, 0.05]",4
0,True,371,49.862762451171875,"[0.05, 0.05]",6
1,True,520,57.373592376708984,"[0.05, 0.05]",6
2,False,999,16.62206268310547,"[0.05, 0.05]",6
3,False,999,34.50398254394531,"[0.05, 0.05]",6
4,True,493,22.239395141601562,"[0.05, 0.05]",6
5,True,405,32.04893493652344,"[0.05, 0.05]",6
6,True,394,12.329203605651855,"[0.05, 0.05]",6
7,True,215,14.51384449005127,"[0.05, 0.05]",6
8,True,306,10.04708194732666,"[0.05, 0.05]",6
