episode,success,sim_steps,VFE_post_run,noise_stddev,agent_num
0,False,999,53.684513092041016,"[0.05, 0.05]",7
1,True,219,36.97566223144531,"[0.05, 0.05]",7
2,True,423,42.76347732543945,"[0.05, 0.05]",7
3,True,246,32.49311065673828,"[0.05, 0.05]",7
4,True,376,14.53438663482666,"[0.05, 0.05]",7
5,True,405,14.490245819091797,"[0.05, 0.05]",7
6,True,214,12.252518653869629,"[0.05, 0.05]",7
7,True,286,11.380043983459473,"[0.05, 0.05]",7
8,True,145,12.1668062210083,"[0.05, 0.05]",7
9,True,457,10.60696792602539,"[0.05, 0.05]",7
10,True,598,11.508883476257324,"[0.05, 0.05]",7
11,True,132,7.03457498550415,"[0.05, 0.05]",7
12,True,194,7.351860046386719,"[0.05, 0.05]",7
13,True,370,5.291014194488525,"[0.05, 0.05]",7
14,True,195,7.8750457763671875,"[0.05, 0.05]",7
15,True,349,5.177515506744385,"[0.05, 0.05]",7
16,True,252,6.2763776779174805,"[0.05, 0.05]",7
17,True,233,5.855127334594727,"[0.05, 0.05]",7
18,True,416,7.662328720092773,"[0.05, 0.05]",7
19,True,686,4.507175922393799,"[0.05, 0.05]",7
20,True,217,5.585162162780762,"[0.05, 0.05]",7
21,True,341,8.654890060424805,"[0.05, 0.05]",7
22,True,695,5.888729095458984,"[0.05, 0.05]",7
23,True,406,7.081404685974121,"[0.05, 0.05]",7
24,True,346,5.266475200653076,"[0.05, 0.05]",7
25,True,249,4.764439105987549,"[0.05, 0.05]",7
26,True,345,4.9775872230529785,"[0.05, 0.05]",7
27,True,282,6.590262413024902,"[0.05, 0.05]",7
28,True,233,4.553382873535156,"[0.05, 0.05]",7
29,True,117,5.420157432556152,"[0.05, 0.05]",7
30,True,184,5.783162593841553,"[0.05, 0.05]",7
31,True,303,4.714782238006592,"[0.05, 0.05]",7
32,True,121,5.289112091064453,"[0.05, 0.05]",7
33,True,156,5.455594539642334,"[0.05, 0.05]",7
34,True,242,5.53389310836792,"[0.05, 0.05]",7
35,True,855,4.044619560241699,"[0.05, 0.05]",7
36,True,145,5.752902507781982,"[0.05, 0.05]",7
37,True,186,5.414799690246582,"[0.05, 0.05]",7
38,True,181,5.660715103149414,"[0.05, 0.05]",7
39,True,203,5.165316581726074,"[0.05, 0.05]",7
0,True,758,62.64875411987305,"[0.05, 0.05]",0
1,True,692,33.75178146362305,"[0.05, 0.05]",0
2,True,813,23.164709091186523,"[0.05, 0.05]",0
3,True,500,35.8663330078125,"[0.05, 0.05]",0
4,True,216,20.406848907470703,"[0.05, 0.05]",0
5,True,82,39.28409194946289,"[0.05, 0.05]",0
6,True,401,24.31930160522461,"[0.05, 0.05]",0
7,True,258,39.0449104309082,"[0.05, 0.05]",0
8,True,636,18.108518600463867,"[0.05, 0.05]",0
9,True,256,18.895715713500977,"[0.05, 0.05]",0
10,True,115,15.535881042480469,"[0.05, 0.05]",0
11,True,345,9.343777656555176,"[0.05, 0.05]",0
12,True,260,9.661277770996094,"[0.05, 0.05]",0
13,True,197,9.331756591796875,"[0.05, 0.05]",0
14,True,235,7.917161464691162,"[0.05, 0.05]",0
15,False,999,8.033952713012695,"[0.05, 0.05]",0
16,True,189,6.2833638191223145,"[0.05, 0.05]",0
17,True,183,4.840825080871582,"[0.05, 0.05]",0
18,True,181,5.593992710113525,"[0.05, 0.05]",0
19,True,342,5.415999889373779,"[0.05, 0.05]",0
20,True,333,5.371570110321045,"[0.05, 0.05]",0
21,True,347,5.475503921508789,"[0.05, 0.05]",0
22,True,153,6.316269397735596,"[0.05, 0.05]",0
23,True,296,6.6959991455078125,"[0.05, 0.05]",0
24,True,592,5.0498576164245605,"[0.05, 0.05]",0
25,True,271,5.619656085968018,"[0.05, 0.05]",0
26,True,179,6.25689697265625,"[0.05, 0.05]",0
27,True,220,5.304773330688477,"[0.05, 0.05]",0
28,True,287,6.446335792541504,"[0.05, 0.05]",0
29,True,172,5.42719030380249,"[0.05, 0.05]",0
30,True,234,4.927013874053955,"[0.05, 0.05]",0
31,True,412,5.9440531730651855,"[0.05, 0.05]",0
32,True,307,6.120665073394775,"[0.05, 0.05]",0
33,True,301,5.04967737197876,"[0.05, 0.05]",0
34,True,183,4.8274312019348145,"[0.05, 0.05]",0
35,True,188,4.688665390014648,"[0.05, 0.05]",0
36,True,148,5.152426242828369,"[0.05, 0.05]",0
37,True,289,5.943820476531982,"[0.05, 0.05]",0
38,True,127,5.678665637969971,"[0.05, 0.05]",0
39,True,468,4.666217803955078,"[0.05, 0.05]",0
0,False,999,43.38724136352539,"[0.05, 0.05]",6
1,True,898,20.6545352935791,"[0.05, 0.05]",6
2,True,673,12.258828163146973,"[0.05, 0.05]",6
3,True,322,9.631494522094727,"[0.05, 0.05]",6
4,True,150,14.589752197265625,"[0.05, 0.05]",6
5,True,197,10.190807342529297,"[0.05, 0.05]",6
6,True,196,10.484432220458984,"[0.05, 0.05]",6
7,False,999,8.892159461975098,"[0.05, 0.05]",6
8,True,351,6.678186893463135,"[0.05, 0.05]",6
9,True,281,9.670122146606445,"[0.05, 0.05]",6
10,True,206,6.883431434631348,"[0.05, 0.05]",6
11,True,356,9.413333892822266,"[0.05, 0.05]",6
12,True,200,5.737489700317383,"[0.05, 0.05]",6
13,True,153,5.516982555389404,"[0.05, 0.05]",6
14,True,494,6.327960014343262,"[0.05, 0.05]",6
15,True,209,5.412482738494873,"[0.05, 0.05]",6
16,True,287,7.4561309814453125,"[0.05, 0.05]",6
17,True,269,5.586263179779053,"[0.05, 0.05]",6
18,True,207,5.017358303070068,"[0.05, 0.05]",6
19,True,177,7.229275703430176,"[0.05, 0.05]",6
20,True,176,6.570980548858643,"[0.05, 0.05]",6
21,True,492,4.97060489654541,"[0.05, 0.05]",6
22,True,485,4.767008304595947,"[0.05, 0.05]",6
23,True,475,5.0207719802856445,"[0.05, 0.05]",6
24,True,398,6.273599147796631,"[0.05, 0.05]",6
25,True,894,5.090803623199463,"[0.05, 0.05]",6
26,True,219,5.880079746246338,"[0.05, 0.05]",6
27,True,376,4.941731929779053,"[0.05, 0.05]",6
28,True,317,4.861194610595703,"[0.05, 0.05]",6
29,True,225,5.743142127990723,"[0.05, 0.05]",6
30,True,260,5.005402088165283,"[0.05, 0.05]",6
31,True,197,5.496244430541992,"[0.05, 0.05]",6
32,True,254,5.469958305358887,"[0.05, 0.05]",6
33,True,270,5.296688556671143,"[0.05, 0.05]",6
34,True,200,5.207016944885254,"[0.05, 0.05]",6
