,episode,success,sim_steps,noise_stddev,total_reward,agent_time_ratio,agent_id
0,0,False,999,"[0, 0]",-0.04305059690837427,6,0
1,1,False,999,"[0, 0]",-0.08957651271084893,6,0
2,2,False,999,"[0, 0]",-0.07384615697190265,6,0
3,3,False,999,"[0, 0]",-0.13127724596549556,6,0
4,4,False,999,"[0, 0]",-0.10163415666454628,6,0
5,5,False,999,"[0, 0]",-0.07446558512698251,6,0
6,6,False,999,"[0, 0]",-0.24123894369908774,6,0
7,7,False,999,"[0, 0]",-0.2011669071046126,6,0
8,8,False,999,"[0, 0]",-0.11025018885199783,6,0
9,9,False,999,"[0, 0]",-0.2383255730851136,6,0
10,10,False,999,"[0, 0]",-0.2623848862029291,6,0
11,11,False,999,"[0, 0]",-0.33584793205946795,6,0
12,12,False,999,"[0, 0]",-0.3218521144033474,6,0
13,13,False,999,"[0, 0]",-0.21080283420169052,6,0
14,14,False,999,"[0, 0]",-0.25405826239711266,6,0
15,15,False,999,"[0, 0]",-0.24193611945475146,6,0
16,16,False,999,"[0, 0]",-0.24471035866133634,6,0
17,17,False,999,"[0, 0]",-0.27669291234997617,6,0
18,18,False,999,"[0, 0]",-0.3375444583873448,6,0
19,19,False,999,"[0, 0]",-0.1591884180056461,6,0
20,20,False,999,"[0, 0]",-0.37828904995314805,6,0
21,21,False,999,"[0, 0]",-0.37273636251944714,6,0
22,22,False,999,"[0, 0]",-0.28222150842215266,6,0
23,23,False,999,"[0, 0]",-0.1875988476096723,6,0
24,24,False,999,"[0, 0]",-0.3084020086909126,6,0
25,25,False,999,"[0, 0]",-0.2894673240469743,6,0
26,26,False,999,"[0, 0]",-0.30273991634327296,6,0
27,27,False,999,"[0, 0]",-0.17840717782328636,6,0
28,28,False,999,"[0, 0]",-0.18170315443511442,6,0
29,29,False,999,"[0, 0]",-0.26059062752223844,6,0
30,30,False,999,"[0, 0]",-0.20184840100319434,6,0
31,31,False,999,"[0, 0]",-0.22551841626444286,6,0
32,32,False,999,"[0, 0]",-0.12375669063499384,6,0
33,33,False,999,"[0, 0]",-0.11391237056070799,6,0
34,34,False,999,"[0, 0]",-0.1508594509584733,6,0
35,35,False,999,"[0, 0]",-0.17014650051714295,6,0
