,episode,success,sim_steps,noise_stddev,total_reward,agent_time_ratio,agent_id
0,0,False,999,"[0, 0]",-0.8361474410965519,6,0
1,1,False,999,"[0, 0]",-0.68142721081855,6,0
2,2,False,999,"[0, 0]",-0.3175862587388475,6,0
3,3,False,999,"[0, 0]",-0.272392855731064,6,0
4,4,False,999,"[0, 0]",-0.3188153679466502,6,0
5,5,False,999,"[0, 0]",-0.19966319352572043,6,0
6,6,False,999,"[0, 0]",-0.16999501214760446,6,0
7,7,False,999,"[0, 0]",-0.22296976637562071,6,0
8,8,False,999,"[0, 0]",-0.49774864824746734,6,0
9,9,False,999,"[0, 0]",-0.8571564348765146,6,0
10,10,False,999,"[0, 0]",-0.3946758156264084,6,0
11,11,False,999,"[0, 0]",-0.4365540412000908,6,0
12,12,False,999,"[0, 0]",-0.9830317441377298,6,0
13,13,False,999,"[0, 0]",-0.764454168011302,6,0
14,14,False,999,"[0, 0]",-0.5408940604761251,6,0
15,15,False,999,"[0, 0]",-0.24954027606503817,6,0
16,16,False,999,"[0, 0]",-0.1639845081519746,6,0
17,17,False,999,"[0, 0]",-0.15266414305008794,6,0
18,18,False,999,"[0, 0]",-0.6816341695434823,6,0
19,19,False,999,"[0, 0]",-0.34155851145804694,6,0
20,20,False,999,"[0, 0]",-0.06228835399255436,6,0
21,21,False,999,"[0, 0]",-1.3669474428341921,6,0
22,22,False,999,"[0, 0]",-1.5098603132088382,6,0
23,23,False,999,"[0, 0]",-0.3438582540871187,6,0
24,24,False,999,"[0, 0]",-0.06581603527210131,6,0
25,25,False,999,"[0, 0]",-0.1862028509628935,6,0
26,26,False,999,"[0, 0]",-0.15618033077763668,6,0
27,27,False,999,"[0, 0]",-0.22212353881162905,6,0
28,28,False,999,"[0, 0]",-0.8039599317859503,6,0
29,29,False,999,"[0, 0]",-0.30231648396628247,6,0
30,30,False,999,"[0, 0]",-0.062066143914032965,6,0
31,31,False,999,"[0, 0]",-0.3312637686858221,6,0
32,32,False,999,"[0, 0]",-0.5713690029511748,6,0
33,33,False,999,"[0, 0]",-0.5737057643059995,6,0
34,34,False,999,"[0, 0]",-0.15648091642636475,6,0
35,35,False,999,"[0, 0]",-0.5336151120537505,6,0
36,36,False,999,"[0, 0]",-0.1846594222724745,6,0
37,37,False,999,"[0, 0]",-0.41714151515825343,6,0
38,38,False,999,"[0, 0]",-0.10125807548587382,6,0
39,39,False,999,"[0, 0]",-0.9611712485322919,6,0
40,40,False,999,"[0, 0]",-0.05055921039088251,6,0
41,41,False,999,"[0, 0]",-0.121646288860854,6,0
42,42,False,999,"[0, 0]",-0.06017533776973008,6,0
43,43,False,999,"[0, 0]",-0.4355681698548142,6,0
44,44,False,999,"[0, 0]",-0.4035794332598241,6,0
45,45,False,999,"[0, 0]",-0.23378809452636418,6,0
46,46,False,999,"[0, 0]",-0.1771389613262124,6,0
47,47,False,999,"[0, 0]",-0.07728303870376912,6,0
48,48,False,999,"[0, 0]",-0.894517238557667,6,0
49,49,False,999,"[0, 0]",-0.3370342420854766,6,0
50,50,False,999,"[0, 0]",-0.0626434332080586,6,0
51,51,False,999,"[0, 0]",-0.3285127677169475,6,0
52,52,False,999,"[0, 0]",-0.33755692005283444,6,0
53,53,False,999,"[0, 0]",-0.5726130762336629,6,0
54,54,False,999,"[0, 0]",-0.7870109807598912,6,0
55,55,False,999,"[0, 0]",-0.3423397537334003,6,0
56,56,False,999,"[0, 0]",-0.26596440965670287,6,0
57,57,False,999,"[0, 0]",-1.4473657631617738,6,0
58,58,False,999,"[0, 0]",-0.09366042641235535,6,0
59,59,False,999,"[0, 0]",-0.1431363480744549,6,0
60,60,False,999,"[0, 0]",-0.4365367026858369,6,0
61,61,False,999,"[0, 0]",-0.5412140581907039,6,0
62,62,False,999,"[0, 0]",-0.05471531480647712,6,0
63,63,False,999,"[0, 0]",-0.16508332833227474,6,0
64,64,False,999,"[0, 0]",-0.27855461793478953,6,0
65,65,False,999,"[0, 0]",-0.17183937841977986,6,0
66,66,False,999,"[0, 0]",-0.5318060120233381,6,0
