,episode,success,sim_steps,noise_stddev,total_reward,agent_time_ratio,agent_id
0,0,False,999,"[0, 0]",-0.09719780033326261,6,0
1,1,False,999,"[0, 0]",-0.2894870033121373,6,0
2,2,False,999,"[0, 0]",-0.08525666956128061,6,0
3,3,False,999,"[0, 0]",-0.5411667091273009,6,0
4,4,False,999,"[0, 0]",-0.6620838743413601,6,0
5,5,False,999,"[0, 0]",-0.20074173259759454,6,0
6,6,False,999,"[0, 0]",-0.5303470364175557,6,0
7,7,False,999,"[0, 0]",-0.1887473874933264,6,0
8,8,False,999,"[0, 0]",-0.5737787195532315,6,0
9,9,False,999,"[0, 0]",-0.19483038865994867,6,0
10,10,False,999,"[0, 0]",-0.04615946141493078,6,0
11,11,False,999,"[0, 0]",-0.48558043756002456,6,0
12,12,False,999,"[0, 0]",-0.24487802858272706,6,0
13,13,False,999,"[0, 0]",-0.11593038205410378,6,0
14,14,False,999,"[0, 0]",-0.4551078910060948,6,0
15,15,False,999,"[0, 0]",-0.1392157862402295,6,0
16,16,False,999,"[0, 0]",-0.24816667596110792,6,0
17,17,False,999,"[0, 0]",-0.28931497449221294,6,0
18,18,False,999,"[0, 0]",-0.08911958753519847,6,0
19,19,False,999,"[0, 0]",-0.16577179220636448,6,0
20,20,False,999,"[0, 0]",-0.03219251918541868,6,0
21,21,False,999,"[0, 0]",-0.24047963605350664,6,0
22,22,False,999,"[0, 0]",-0.2455316049533448,6,0
23,23,False,999,"[0, 0]",-0.1020800569928485,6,0
24,24,False,999,"[0, 0]",-1.3035349396459341,6,0
25,25,False,999,"[0, 0]",-0.11837190476435847,6,0
26,26,False,999,"[0, 0]",-0.993089721959796,6,0
27,27,False,999,"[0, 0]",-0.14024403308041478,6,0
28,28,False,999,"[0, 0]",-0.1566689528648661,6,0
29,29,False,999,"[0, 0]",-0.25428178370255355,6,0
30,30,False,999,"[0, 0]",-0.5059858539131502,6,0
31,31,False,999,"[0, 0]",-0.06402618722714457,6,0
32,32,False,999,"[0, 0]",-0.8728122722661361,6,0
33,33,False,999,"[0, 0]",-0.09133599167248203,6,0
34,34,False,999,"[0, 0]",-2.0812371052076806,6,0
35,35,False,999,"[0, 0]",-0.07597351426769322,6,0
36,36,False,999,"[0, 0]",-2.0174075036044514,6,0
37,37,False,999,"[0, 0]",-0.587018207564574,6,0
38,38,False,999,"[0, 0]",-0.5094534408966889,6,0
39,39,False,999,"[0, 0]",-0.22042322366550016,6,0
40,40,False,999,"[0, 0]",-0.2554786146300027,6,0
41,41,False,999,"[0, 0]",-0.617966196873315,6,0
42,42,False,999,"[0, 0]",-0.19593635486625652,6,0
43,43,False,999,"[0, 0]",-0.8609912636712619,6,0
44,44,False,999,"[0, 0]",-0.16031598647352768,6,0
45,45,False,999,"[0, 0]",-0.09263404231219546,6,0
46,46,False,999,"[0, 0]",-0.36457462336392266,6,0
47,47,False,999,"[0, 0]",-0.12424006416456532,6,0
48,48,False,999,"[0, 0]",-0.7203557675182684,6,0
49,49,False,999,"[0, 0]",-0.36068341570224016,6,0
50,50,False,999,"[0, 0]",-0.515883791372059,6,0
51,51,False,999,"[0, 0]",-0.19400550655955107,6,0
52,52,False,999,"[0, 0]",-1.129893075251524,6,0
53,53,False,999,"[0, 0]",-0.06305875850040882,6,0
54,54,False,999,"[0, 0]",-0.2835215459723517,6,0
55,55,False,999,"[0, 0]",-0.08976513155594887,6,0
56,56,False,999,"[0, 0]",-0.3969031310477453,6,0
57,57,False,999,"[0, 0]",-0.7188174998488485,6,0
58,58,False,999,"[0, 0]",-1.0593188084052256,6,0
59,59,False,999,"[0, 0]",-0.33991190830300144,6,0
60,60,False,999,"[0, 0]",-1.1489324468475584,6,0
61,61,False,999,"[0, 0]",-0.20770026309771977,6,0
62,62,False,999,"[0, 0]",-0.730062206226622,6,0
63,63,False,999,"[0, 0]",-1.77119038056084,6,0
64,64,False,999,"[0, 0]",-1.0840389693385029,6,0
65,65,False,999,"[0, 0]",-0.25559098655335977,6,0
66,66,False,999,"[0, 0]",-0.7618126117575917,6,0
67,67,False,999,"[0, 0]",-0.6388055264941095,6,0
68,68,False,999,"[0, 0]",-0.8371421312190028,6,0
69,69,False,999,"[0, 0]",-0.6616980808252446,6,0
70,70,False,999,"[0, 0]",-2.306939709699485,6,0
71,71,False,999,"[0, 0]",-0.07885860045137755,6,0
72,72,False,999,"[0, 0]",-0.1507144037264103,6,0
73,73,False,999,"[0, 0]",-0.31628965232376366,6,0
74,74,False,999,"[0, 0]",-0.07296570777553367,6,0
75,75,False,999,"[0, 0]",-0.3494822196485079,6,0
76,76,False,999,"[0, 0]",-0.16097254364521724,6,0
77,77,False,999,"[0, 0]",-0.12323736211290405,6,0
78,78,False,999,"[0, 0]",-0.45422444971903964,6,0
79,79,False,999,"[0, 0]",-0.3415603919993783,6,0
80,80,False,999,"[0, 0]",-0.2267448533607911,6,0
81,81,False,999,"[0, 0]",-0.3719480252484083,6,0
82,82,False,999,"[0, 0]",-0.3932633304287276,6,0
83,83,False,999,"[0, 0]",-0.5960319900284134,6,0
84,84,False,999,"[0, 0]",-1.250155172652782,6,0
85,85,False,999,"[0, 0]",-0.29825426822069157,6,0
86,86,False,999,"[0, 0]",-0.35319917375538573,6,0
87,87,False,999,"[0, 0]",-0.2915285176269048,6,0
88,88,False,999,"[0, 0]",-0.30862787411563447,6,0
89,89,False,999,"[0, 0]",-0.31436726652846214,6,0
90,90,False,999,"[0, 0]",-0.39348068839474837,6,0
91,91,False,999,"[0, 0]",-0.5095170054592444,6,0
92,92,False,999,"[0, 0]",-0.18131116193965413,6,0
93,93,False,999,"[0, 0]",-0.3557902040312025,6,0
94,94,False,999,"[0, 0]",-0.16122502404651345,6,0
95,95,False,999,"[0, 0]",-0.16536027756171773,6,0
96,96,False,999,"[0, 0]",-0.37118997974766865,6,0
97,97,False,999,"[0, 0]",-1.5885424819124627,6,0
98,98,False,999,"[0, 0]",-0.3660052386513925,6,0
99,99,False,999,"[0, 0]",-0.2718801331943699,6,0
100,100,False,999,"[0, 0]",-3.053519354017677,6,0
101,101,False,999,"[0, 0]",-1.9338655487707521,6,0
102,102,False,999,"[0, 0]",-0.11456031441324252,6,0
103,103,False,999,"[0, 0]",-1.1568785559319383,6,0
104,104,False,999,"[0, 0]",-0.4318929238063768,6,0
105,105,False,999,"[0, 0]",-0.7717992950812272,6,0
106,106,False,999,"[0, 0]",-0.5827995342963532,6,0
107,107,False,999,"[0, 0]",-0.18001171502380114,6,0
108,108,False,999,"[0, 0]",-0.8835479684852398,6,0
109,109,False,999,"[0, 0]",-3.1156492438732872,6,0
110,110,False,999,"[0, 0]",-0.29255789609550253,6,0
111,111,False,999,"[0, 0]",-0.37553233942795183,6,0
112,112,False,999,"[0, 0]",-0.07485031055039258,6,0
113,113,False,999,"[0, 0]",-0.2126777872548231,6,0
114,114,False,999,"[0, 0]",-1.300956590657184,6,0
115,115,False,999,"[0, 0]",-0.11339289941208754,6,0
116,116,False,999,"[0, 0]",-0.18194418248377128,6,0
117,117,False,999,"[0, 0]",-0.19034668909071178,6,0
118,118,False,999,"[0, 0]",-0.24771374924935852,6,0
119,119,False,999,"[0, 0]",-0.3268354834672175,6,0
120,120,False,999,"[0, 0]",-0.7512305842891006,6,0
121,121,False,999,"[0, 0]",-0.8070154961560827,6,0
122,122,False,999,"[0, 0]",-0.17682773786500972,6,0
123,123,False,999,"[0, 0]",-0.2776542225613453,6,0
124,124,False,999,"[0, 0]",-0.07233307253886162,6,0
125,125,False,999,"[0, 0]",-0.8639029254360105,6,0
126,126,False,999,"[0, 0]",-0.299956978975647,6,0
127,127,False,999,"[0, 0]",-1.5477271229305152,6,0
128,128,False,999,"[0, 0]",-0.07065975405718328,6,0
129,129,False,999,"[0, 0]",-0.9309397871964556,6,0
130,130,False,999,"[0, 0]",-3.338410027490368,6,0
131,131,False,999,"[0, 0]",-0.25654526742444206,6,0
132,132,False,999,"[0, 0]",-0.1258161702862402,6,0
133,133,False,999,"[0, 0]",-0.18476344285786944,6,0
134,134,False,999,"[0, 0]",-0.7502655524439403,6,0
135,135,False,999,"[0, 0]",-0.19136110630349562,6,0
136,136,False,999,"[0, 0]",-0.08329247056338171,6,0
137,137,False,999,"[0, 0]",-0.4284922144682881,6,0
138,138,False,999,"[0, 0]",-0.23300543615769514,6,0
139,139,False,999,"[0, 0]",-0.31784990802669877,6,0
140,140,False,999,"[0, 0]",-1.1718642128206378,6,0
141,141,False,999,"[0, 0]",-0.05787968288538413,6,0
142,142,False,999,"[0, 0]",-1.3127223499715346,6,0
143,143,False,999,"[0, 0]",-0.10736886385245221,6,0
144,144,False,999,"[0, 0]",-0.08230276107587225,6,0
145,145,False,999,"[0, 0]",-0.09824005823333778,6,0
146,146,False,999,"[0, 0]",-0.033651196280769735,6,0
147,147,False,999,"[0, 0]",-0.23109388200990855,6,0
148,148,False,999,"[0, 0]",-0.28896205044093504,6,0
149,149,False,999,"[0, 0]",-0.19525735805113786,6,0
150,0,False,999,"[0, 0]",-0.2704366152785148,6,1
151,1,False,999,"[0, 0]",-0.07834530778283905,6,1
152,2,False,999,"[0, 0]",-0.10198009219264498,6,1
153,3,False,999,"[0, 0]",-0.4994906418649834,6,1
154,4,False,999,"[0, 0]",-0.08928434911101636,6,1
155,5,False,999,"[0, 0]",-0.24648229096161803,6,1
156,6,False,999,"[0, 0]",-0.3632872257710009,6,1
157,7,False,999,"[0, 0]",-0.5500275230228358,6,1
158,8,False,999,"[0, 0]",-0.2768464311083163,6,1
159,9,False,999,"[0, 0]",-0.6819577260921663,6,1
160,10,False,999,"[0, 0]",-0.07531979899685394,6,1
161,11,False,999,"[0, 0]",-0.027890850085556827,6,1
162,12,False,999,"[0, 0]",-0.12316066550840281,6,1
163,13,False,999,"[0, 0]",-0.16433993270099656,6,1
164,14,False,999,"[0, 0]",-0.14630266503126377,6,1
165,15,False,999,"[0, 0]",-1.130865337807933,6,1
166,16,False,999,"[0, 0]",-0.22614013769265376,6,1
167,17,False,999,"[0, 0]",-0.22336340471271998,6,1
168,18,False,999,"[0, 0]",-0.050740186358330566,6,1
169,19,False,999,"[0, 0]",-0.7986325123708523,6,1
170,20,False,999,"[0, 0]",-1.6693032445811762,6,1
171,21,False,999,"[0, 0]",-0.18756690639616747,6,1
172,22,False,999,"[0, 0]",-0.4445394632860665,6,1
173,23,False,999,"[0, 0]",-1.2120013615222966,6,1
174,24,False,999,"[0, 0]",-0.08048542328846983,6,1
175,25,False,999,"[0, 0]",-0.7684606493865238,6,1
176,26,False,999,"[0, 0]",-0.08509904999712176,6,1
177,27,False,999,"[0, 0]",-0.7749053434637773,6,1
178,28,False,999,"[0, 0]",-0.3129825160621784,6,1
179,29,False,999,"[0, 0]",-0.06946383188523306,6,1
180,30,False,999,"[0, 0]",-0.06928521339349607,6,1
181,31,False,999,"[0, 0]",-0.11452787448310847,6,1
182,32,False,999,"[0, 0]",-0.5733064393877318,6,1
183,33,False,999,"[0, 0]",-0.07138939789259047,6,1
184,34,False,999,"[0, 0]",-0.37624844810363933,6,1
185,35,False,999,"[0, 0]",-0.5877169493568957,6,1
186,36,False,999,"[0, 0]",-0.183554419758233,6,1
187,37,False,999,"[0, 0]",-0.12383254020092588,6,1
188,38,False,999,"[0, 0]",-0.7599688503768333,6,1
189,39,False,999,"[0, 0]",-0.14718395194748646,6,1
190,40,False,999,"[0, 0]",-0.6533487685748249,6,1
191,41,False,999,"[0, 0]",-0.06448304913781976,6,1
192,42,False,999,"[0, 0]",-0.15214847304069656,6,1
193,43,False,999,"[0, 0]",-0.21376638707353457,6,1
194,44,False,999,"[0, 0]",-0.05675428280929272,6,1
195,45,False,999,"[0, 0]",-0.06644759137272742,6,1
196,46,False,999,"[0, 0]",-0.0465162392939956,6,1
197,47,False,999,"[0, 0]",-0.1431115771822734,6,1
198,48,False,999,"[0, 0]",-1.0306760750872461,6,1
199,49,False,999,"[0, 0]",-0.07974751967975058,6,1
200,50,False,999,"[0, 0]",-1.0104450818167994,6,1
201,51,False,999,"[0, 0]",-0.07242650241135279,6,1
202,52,False,999,"[0, 0]",-0.14052965061389602,6,1
203,53,False,999,"[0, 0]",-0.0407123076311129,6,1
204,54,False,999,"[0, 0]",-0.26097855331875197,6,1
