,episode,success,sim_steps,noise_stddev,total_reward,agent_time_ratio,agent_id
0,0,False,999,"[0, 0]",-0.7005567119884233,6,0
1,1,False,999,"[0, 0]",-0.9144845506519343,6,0
2,2,False,999,"[0, 0]",-1.1404452567495416,6,0
3,3,False,999,"[0, 0]",-1.3727241962652919,6,0
4,4,False,999,"[0, 0]",-1.572100113513362,6,0
5,5,False,999,"[0, 0]",-1.701936528456795,6,0
6,6,False,999,"[0, 0]",-1.9645953025191418,6,0
7,7,False,999,"[0, 0]",-2.2723504197016,6,0
8,8,False,999,"[0, 0]",-2.4407275595544533,6,0
9,9,False,999,"[0, 0]",-2.3587508330049496,6,0
10,10,False,999,"[0, 0]",-2.4739349686422054,6,0
11,11,False,999,"[0, 0]",-2.5817194078403296,6,0
12,12,False,999,"[0, 0]",-2.854222894650627,6,0
13,13,False,999,"[0, 0]",-2.9491389276585402,6,0
14,14,False,999,"[0, 0]",-3.1939129488727804,6,0
15,15,False,999,"[0, 0]",-3.506443441421087,6,0
16,16,False,999,"[0, 0]",-3.7754001259918537,6,0
17,17,False,999,"[0, 0]",-4.263134749157946,6,0
18,18,False,999,"[0, 0]",-4.559710700386804,6,0
19,19,False,999,"[0, 0]",-4.444111720611646,6,0
20,20,False,999,"[0, 0]",-4.584741866241661,6,0
21,21,False,999,"[0, 0]",-4.919990451526042,6,0
22,22,False,999,"[0, 0]",-4.8013011429174455,6,0
23,23,False,999,"[0, 0]",-4.722254214136823,6,0
24,24,False,999,"[0, 0]",-4.389472451581298,6,0
25,25,False,999,"[0, 0]",-3.9319078037389623,6,0
26,26,False,999,"[0, 0]",-3.6531959246525147,6,0
27,27,False,999,"[0, 0]",-3.5524089320066725,6,0
28,28,False,999,"[0, 0]",-3.2219501790616825,6,0
29,29,False,999,"[0, 0]",-2.9678257562386525,6,0
30,30,False,999,"[0, 0]",-2.7230370321400272,6,0
31,31,False,999,"[0, 0]",-2.4827326051068983,6,0
32,32,False,999,"[0, 0]",-2.2715809947349377,6,0
33,33,False,999,"[0, 0]",-2.044383402574084,6,0
34,34,False,999,"[0, 0]",-1.839969922028423,6,0
35,35,False,999,"[0, 0]",-1.8295409783982883,6,0
36,36,False,999,"[0, 0]",-1.7570333036964074,6,0
37,37,False,999,"[0, 0]",-1.7321832420399517,6,0
38,38,False,999,"[0, 0]",-1.6389700889606038,6,0
39,39,False,999,"[0, 0]",-1.6279074466005192,6,0
40,40,False,999,"[0, 0]",-1.4438481442917257,6,0
41,41,False,999,"[0, 0]",-1.3594625391351205,6,0
42,42,False,999,"[0, 0]",-1.444582421375499,6,0
43,43,False,999,"[0, 0]",-1.319014539506282,6,0
44,44,False,999,"[0, 0]",-1.2754700516061477,6,0
45,45,False,999,"[0, 0]",-1.4262521237827628,6,0
46,46,False,999,"[0, 0]",-1.3866066775976242,6,0
47,47,False,999,"[0, 0]",-1.4641795250118586,6,0
48,48,False,999,"[0, 0]",-1.4349851731352223,6,0
49,49,False,999,"[0, 0]",-1.3184952235394056,6,0
50,50,False,999,"[0, 0]",-1.2337558877814505,6,0
51,51,False,999,"[0, 0]",-1.0793500177826463,6,0
52,52,False,999,"[0, 0]",-1.190974515139386,6,0
53,53,False,999,"[0, 0]",-1.2906340377703747,6,0
54,54,False,999,"[0, 0]",-1.235152838995404,6,0
55,55,False,999,"[0, 0]",-1.2286919515893047,6,0
56,56,False,999,"[0, 0]",-1.0983731861196484,6,0
57,57,False,999,"[0, 0]",-1.1103859117344594,6,0
58,58,False,999,"[0, 0]",-1.2075058841287385,6,0
59,59,False,999,"[0, 0]",-1.2657355499042104,6,0
60,60,False,999,"[0, 0]",-1.2994930800374904,6,0
61,61,False,999,"[0, 0]",-1.3393111889117366,6,0
62,62,False,999,"[0, 0]",-1.4695497595897464,6,0
63,63,False,999,"[0, 0]",-1.3991219376558295,6,0
64,64,False,999,"[0, 0]",-1.5087371625896746,6,0
65,65,False,999,"[0, 0]",-1.5518224804524232,6,0
66,66,False,999,"[0, 0]",-1.574611838325485,6,0
67,67,False,999,"[0, 0]",-1.5590279937547842,6,0
68,68,False,999,"[0, 0]",-1.575777413139223,6,0
69,69,False,999,"[0, 0]",-1.597805550174129,6,0
70,70,False,999,"[0, 0]",-1.5698437213961562,6,0
71,71,False,999,"[0, 0]",-1.599964215816212,6,0
72,72,False,999,"[0, 0]",-1.7778514817266111,6,0
73,73,False,999,"[0, 0]",-1.6716764448948682,6,0
74,74,False,999,"[0, 0]",-1.6354044998019064,6,0
75,75,False,999,"[0, 0]",-1.6737377355251182,6,0
76,76,False,999,"[0, 0]",-1.5409349507418626,6,0
77,77,False,999,"[0, 0]",-1.7022025302629604,6,0
78,78,False,999,"[0, 0]",-1.6233017995525696,6,0
79,79,False,999,"[0, 0]",-1.7627471597419582,6,0
80,80,False,999,"[0, 0]",-1.9327923277385106,6,0
81,81,False,999,"[0, 0]",-1.8649718306150889,6,0
82,82,False,999,"[0, 0]",-1.849554916487853,6,0
83,83,False,999,"[0, 0]",-1.975366128653913,6,0
84,84,False,999,"[0, 0]",-2.0996088815320313,6,0
85,85,False,999,"[0, 0]",-2.0783426104676437,6,0
86,86,False,999,"[0, 0]",-2.2660550031231876,6,0
87,87,False,999,"[0, 0]",-2.367760779630297,6,0
88,88,False,999,"[0, 0]",-2.5690535698751873,6,0
89,89,False,999,"[0, 0]",-2.5895464873952108,6,0
90,90,False,999,"[0, 0]",-2.750150109809859,6,0
91,91,False,999,"[0, 0]",-3.0684315510368156,6,0
92,92,False,999,"[0, 0]",-3.310478036711533,6,0
93,93,False,999,"[0, 0]",-3.4622439262418596,6,0
94,94,False,999,"[0, 0]",-3.72018297900516,6,0
95,95,False,999,"[0, 0]",-3.867872064914483,6,0
96,96,False,999,"[0, 0]",-4.189982570866704,6,0
97,97,False,999,"[0, 0]",-4.7159481528972425,6,0
98,98,False,999,"[0, 0]",-4.994702307486424,6,0
99,99,False,999,"[0, 0]",-5.5479772695881,6,0
100,100,True,703,"[0, 0]",97.47081365755099,6,0
101,101,True,831,"[0, 0]",97.1646546877612,6,0
102,102,True,585,"[0, 0]",97.64222893769814,6,0
103,103,True,727,"[0, 0]",97.02591835533319,6,0
104,104,False,999,"[0, 0]",-3.5713031312263612,6,0
105,105,True,872,"[0, 0]",96.65964618594657,6,0
106,106,True,810,"[0, 0]",96.83244316160211,6,0
107,107,True,791,"[0, 0]",97.03111592159992,6,0
108,108,False,999,"[0, 0]",-3.155636662499215,6,0
109,109,True,588,"[0, 0]",97.58539737131746,6,0
110,110,True,887,"[0, 0]",96.79787090404572,6,0
111,111,True,573,"[0, 0]",97.69363287523957,6,0
112,112,True,575,"[0, 0]",97.51346500704778,6,0
113,113,False,999,"[0, 0]",-3.0094220839931287,6,0
114,114,True,814,"[0, 0]",96.98779324605056,6,0
115,115,False,999,"[0, 0]",-2.5591289884848134,6,0
116,116,False,999,"[0, 0]",-2.7994892583239634,6,0
117,117,True,833,"[0, 0]",97.05032517949071,6,0
118,118,False,999,"[0, 0]",-2.92051115279657,6,0
119,119,True,910,"[0, 0]",96.70253098249728,6,0
120,120,True,852,"[0, 0]",96.91729618140347,6,0
121,121,True,494,"[0, 0]",97.97900991564705,6,0
122,122,False,999,"[0, 0]",-2.8518979366840274,6,0
123,123,True,628,"[0, 0]",97.7180602388152,6,0
124,124,False,999,"[0, 0]",-3.1607695376117064,6,0
125,125,True,981,"[0, 0]",96.90794468109348,6,0
126,126,True,690,"[0, 0]",97.70525809815706,6,0
127,127,True,416,"[0, 0]",98.45300066424082,6,0
128,128,False,999,"[0, 0]",-2.8434875579259273,6,0
129,129,True,686,"[0, 0]",98.01612626529773,6,0
130,130,False,999,"[0, 0]",-2.1828133042190503,6,0
131,131,True,997,"[0, 0]",97.33666767495139,6,0
132,132,True,748,"[0, 0]",97.82176699502709,6,0
133,133,True,576,"[0, 0]",98.10778655599094,6,0
134,134,True,578,"[0, 0]",98.09536118114856,6,0
135,135,True,641,"[0, 0]",98.05421444633313,6,0
136,136,False,999,"[0, 0]",-2.6728970179883764,6,0
137,137,True,619,"[0, 0]",97.99318485251034,6,0
138,138,True,512,"[0, 0]",97.96516470641976,6,0
139,139,True,480,"[0, 0]",98.19343666672162,6,0
140,140,True,711,"[0, 0]",97.99760209032809,6,0
141,141,True,411,"[0, 0]",98.45861847256592,6,0
142,142,True,865,"[0, 0]",97.68354051014856,6,0
143,143,True,554,"[0, 0]",98.16901448170036,6,0
144,144,True,354,"[0, 0]",98.81189471343255,6,0
145,145,True,341,"[0, 0]",98.68751548588266,6,0
146,146,True,611,"[0, 0]",98.25302440758615,6,0
147,147,True,340,"[0, 0]",98.79151840143403,6,0
148,148,True,614,"[0, 0]",98.25840912966797,6,0
149,149,True,885,"[0, 0]",97.57902505997447,6,0
150,0,False,999,"[0, 0]",-0.1281139106366936,6,1
151,1,False,999,"[0, 0]",-0.17416570295693135,6,1
152,2,False,999,"[0, 0]",-0.27445772843526667,6,1
153,3,False,999,"[0, 0]",-0.30308480202970184,6,1
154,4,False,999,"[0, 0]",-0.2783883800555398,6,1
155,5,False,999,"[0, 0]",-0.2639496058755065,6,1
156,6,False,999,"[0, 0]",-0.6252774176578298,6,1
157,7,False,999,"[0, 0]",-0.5908952689212794,6,1
158,8,False,999,"[0, 0]",-0.35222730160248766,6,1
159,9,False,999,"[0, 0]",-0.43385514953151316,6,1
160,10,False,999,"[0, 0]",-0.4275261829267388,6,1
161,11,False,999,"[0, 0]",-0.5077860442849695,6,1
162,12,False,999,"[0, 0]",-0.36373118630350987,6,1
163,13,False,999,"[0, 0]",-0.7093562457574081,6,1
164,14,False,999,"[0, 0]",-0.6960714868021356,6,1
165,15,False,999,"[0, 0]",-0.9506679947966905,6,1
166,16,False,999,"[0, 0]",-0.61321273705221,6,1
167,17,False,999,"[0, 0]",-0.7442396488532441,6,1
168,18,False,999,"[0, 0]",-0.7358338773239739,6,1
169,19,False,999,"[0, 0]",-0.9189789088701222,6,1
170,20,False,999,"[0, 0]",-1.6454127247488612,6,1
171,21,False,999,"[0, 0]",-1.298884121403159,6,1
172,22,False,999,"[0, 0]",-2.139619635523582,6,1
173,23,False,999,"[0, 0]",-2.268207576839601,6,1
174,24,False,999,"[0, 0]",-1.9478781291369385,6,1
175,25,False,999,"[0, 0]",-2.6876592320001005,6,1
176,26,False,999,"[0, 0]",-2.548027791974776,6,1
177,27,False,999,"[0, 0]",-2.6681343773648463,6,1
178,28,False,999,"[0, 0]",-3.053753691541797,6,1
179,29,False,999,"[0, 0]",-2.8512795966102438,6,1
180,30,False,999,"[0, 0]",-2.592924206222482,6,1
181,31,False,999,"[0, 0]",-3.4880775882153294,6,1
182,32,False,999,"[0, 0]",-3.9348912601613675,6,1
183,33,False,999,"[0, 0]",-3.9094978676063707,6,1
184,34,False,999,"[0, 0]",-3.2051470324079947,6,1
185,35,False,999,"[0, 0]",-3.8324657300189098,6,1
186,36,False,999,"[0, 0]",-3.2305466397108757,6,1
187,37,False,999,"[0, 0]",-3.7289021430405604,6,1
188,38,False,999,"[0, 0]",-3.126071405442734,6,1
189,39,False,999,"[0, 0]",-3.819054077995951,6,1
190,40,False,999,"[0, 0]",-4.0966967448546745,6,1
191,41,False,999,"[0, 0]",-2.8656021955432784,6,1
192,42,False,999,"[0, 0]",-2.5082535006244484,6,1
193,43,False,999,"[0, 0]",-2.5726585962095565,6,1
194,44,False,999,"[0, 0]",-2.673482554734929,6,1
195,45,False,999,"[0, 0]",-3.1120149391952645,6,1
196,46,False,999,"[0, 0]",-2.675574480133585,6,1
197,47,False,999,"[0, 0]",-2.0825143883557766,6,1
198,48,False,999,"[0, 0]",-2.604397291967148,6,1
199,49,False,999,"[0, 0]",-2.921256085870539,6,1
200,50,False,999,"[0, 0]",-2.3651081076621128,6,1
201,51,False,999,"[0, 0]",-2.3133267624199387,6,1
202,52,False,999,"[0, 0]",-1.782816708917672,6,1
203,53,False,999,"[0, 0]",-1.490028226533029,6,1
204,54,False,999,"[0, 0]",-2.1874494589608906,6,1
205,55,False,999,"[0, 0]",-2.1860749957375374,6,1
206,56,False,999,"[0, 0]",-1.6196652271998186,6,1
207,57,False,999,"[0, 0]",-1.6247208903258459,6,1
208,58,False,999,"[0, 0]",-1.169959855239954,6,1
209,59,False,999,"[0, 0]",-1.4269051071698722,6,1
210,60,False,999,"[0, 0]",-1.3414186562209998,6,1
211,61,False,999,"[0, 0]",-1.4598050158169333,6,1
212,62,False,999,"[0, 0]",-1.9989050145239697,6,1
213,63,False,999,"[0, 0]",-1.4277485263933216,6,1
214,64,False,999,"[0, 0]",-1.4473035130949072,6,1
215,65,False,999,"[0, 0]",-1.2248392249213267,6,1
216,66,False,999,"[0, 0]",-1.260227520993899,6,1
217,67,False,999,"[0, 0]",-1.1664189574849972,6,1
218,68,False,999,"[0, 0]",-1.0287283218799455,6,1
219,69,False,999,"[0, 0]",-1.5937935409083301,6,1
220,70,False,999,"[0, 0]",-1.7313661571542742,6,1
221,71,False,999,"[0, 0]",-1.8537359257462853,6,1
222,72,False,999,"[0, 0]",-1.0028400072208845,6,1
223,73,False,999,"[0, 0]",-1.580316908958399,6,1
224,74,False,999,"[0, 0]",-1.7161802128464256,6,1
225,75,False,999,"[0, 0]",-1.1288894819389206,6,1
226,76,False,999,"[0, 0]",-1.8983989980440732,6,1
227,77,False,999,"[0, 0]",-1.114352628103931,6,1
228,78,False,999,"[0, 0]",-1.0783654612762898,6,1
229,79,False,999,"[0, 0]",-1.3236940907163985,6,1
230,80,False,999,"[0, 0]",-1.0636236610877676,6,1
231,81,False,999,"[0, 0]",-0.989469850434243,6,1
232,82,False,999,"[0, 0]",-1.0078679872093586,6,1
233,83,False,999,"[0, 0]",-1.6061317468278242,6,1
234,84,False,999,"[0, 0]",-1.6932005939677286,6,1
235,85,False,999,"[0, 0]",-1.9075719568406826,6,1
236,86,False,999,"[0, 0]",-1.5325037162571973,6,1
237,87,False,999,"[0, 0]",-1.5363183819215562,6,1
238,88,False,999,"[0, 0]",-1.5614208951235964,6,1
239,89,False,999,"[0, 0]",-1.2571905277492252,6,1
240,90,False,999,"[0, 0]",-1.0911169264481475,6,1
241,91,False,999,"[0, 0]",-1.2786160768145154,6,1
242,92,False,999,"[0, 0]",-1.2293902557521201,6,1
243,93,False,999,"[0, 0]",-1.7588361878139152,6,1
244,94,False,999,"[0, 0]",-1.1414568726816474,6,1
245,95,False,999,"[0, 0]",-1.510373888285577,6,1
246,96,False,999,"[0, 0]",-1.139026215116076,6,1
247,97,False,999,"[0, 0]",-1.2913604532581862,6,1
248,98,False,999,"[0, 0]",-0.9267802899220912,6,1
249,99,False,999,"[0, 0]",-1.5631085213813731,6,1
250,100,False,999,"[0, 0]",-0.6749355242143039,6,1
251,101,False,999,"[0, 0]",-0.7411096802387255,6,1
252,102,False,999,"[0, 0]",-0.7633976377697536,6,1
253,103,False,999,"[0, 0]",-0.7708579069678005,6,1
