episode,success,sim_steps,noise_stddev,agent_num
0,True,420,"[0, 0]",4
1,True,387,"[0, 0]",4
2,True,638,"[0, 0]",4
3,True,947,"[0, 0]",4
4,False,999,"[0, 0]",4
5,True,279,"[0, 0]",4
6,True,365,"[0, 0]",4
7,True,137,"[0, 0]",4
8,True,154,"[0, 0]",4
9,True,411,"[0, 0]",4
0,True,782,"[0, 0]",7
1,True,489,"[0, 0]",7
2,True,466,"[0, 0]",7
3,True,155,"[0, 0]",7
4,True,538,"[0, 0]",7
5,True,252,"[0, 0]",7
6,True,479,"[0, 0]",7
7,True,707,"[0, 0]",7
8,True,801,"[0, 0]",7
9,True,552,"[0, 0]",7
0,True,452,"[0, 0]",8
1,True,792,"[0, 0]",8
2,True,343,"[0, 0]",8
3,True,632,"[0, 0]",8
4,False,999,"[0, 0]",8
5,True,393,"[0, 0]",8
6,False,999,"[0, 0]",8
7,True,651,"[0, 0]",8
8,True,485,"[0, 0]",8
9,False,999,"[0, 0]",8
0,False,999,"[0, 0]",9
1,True,466,"[0, 0]",9
2,True,459,"[0, 0]",9
3,True,342,"[0, 0]",9
4,True,849,"[0, 0]",9
5,True,661,"[0, 0]",9
6,True,324,"[0, 0]",9
7,False,999,"[0, 0]",9
8,False,999,"[0, 0]",9
9,False,999,"[0, 0]",9
0,False,999,"[0, 0]",0
1,True,934,"[0, 0]",0
2,True,433,"[0, 0]",0
3,False,999,"[0, 0]",0
4,True,268,"[0, 0]",0
5,True,839,"[0, 0]",0
6,True,587,"[0, 0]",0
7,False,999,"[0, 0]",0
8,True,841,"[0, 0]",0
9,True,602,"[0, 0]",0
0,True,351,"[0, 0]",2
1,True,705,"[0, 0]",2
2,True,947,"[0, 0]",2
3,True,759,"[0, 0]",2
4,True,678,"[0, 0]",2
5,False,999,"[0, 0]",2
6,False,999,"[0, 0]",2
7,False,999,"[0, 0]",2
8,True,558,"[0, 0]",2
9,False,999,"[0, 0]",2
0,True,187,"[0, 0]",1
1,False,999,"[0, 0]",1
2,False,999,"[0, 0]",1
3,False,999,"[0, 0]",1
4,True,658,"[0, 0]",1
5,False,999,"[0, 0]",1
6,False,999,"[0, 0]",1
7,False,999,"[0, 0]",1
8,True,918,"[0, 0]",1
9,True,462,"[0, 0]",1
0,False,999,"[0, 0]",6
1,True,861,"[0, 0]",6
2,False,999,"[0, 0]",6
3,False,999,"[0, 0]",6
4,False,999,"[0, 0]",6
5,False,999,"[0, 0]",6
6,False,999,"[0, 0]",6
7,True,193,"[0, 0]",6
8,False,999,"[0, 0]",6
9,True,473,"[0, 0]",6
0,True,214,"[0, 0]",5
1,False,999,"[0, 0]",5
2,False,999,"[0, 0]",5
3,True,635,"[0, 0]",5
4,False,999,"[0, 0]",5
5,False,999,"[0, 0]",5
6,False,999,"[0, 0]",5
7,False,999,"[0, 0]",5
8,True,985,"[0, 0]",5
9,False,999,"[0, 0]",5
0,False,999,"[0, 0]",3
1,False,999,"[0, 0]",3
2,False,999,"[0, 0]",3
3,False,999,"[0, 0]",3
4,True,800,"[0, 0]",3
5,True,838,"[0, 0]",3
6,True,646,"[0, 0]",3
7,True,773,"[0, 0]",3
8,False,999,"[0, 0]",3
9,False,999,"[0, 0]",3
0,True,834,"[0, 0]",4
1,True,344,"[0, 0]",4
2,True,291,"[0, 0]",4
3,True,309,"[0, 0]",4
4,True,349,"[0, 0]",4
5,True,238,"[0, 0]",4
6,True,110,"[0, 0]",4
7,True,519,"[0, 0]",4
8,True,213,"[0, 0]",4
9,True,419,"[0, 0]",4
0,True,625,"[0, 0]",15
1,False,999,"[0, 0]",15
2,True,502,"[0, 0]",15
3,True,426,"[0, 0]",15
4,True,723,"[0, 0]",15
5,True,219,"[0, 0]",15
6,True,277,"[0, 0]",15
7,True,293,"[0, 0]",15
8,True,389,"[0, 0]",15
9,True,282,"[0, 0]",15
0,True,530,"[0, 0]",9
1,True,552,"[0, 0]",9
2,True,780,"[0, 0]",9
3,True,630,"[0, 0]",9
4,False,999,"[0, 0]",9
5,True,335,"[0, 0]",9
6,True,396,"[0, 0]",9
7,True,380,"[0, 0]",9
8,True,330,"[0, 0]",9
9,False,999,"[0, 0]",9
0,True,516,"[0, 0]",3
1,True,687,"[0, 0]",3
2,True,431,"[0, 0]",3
3,True,526,"[0, 0]",3
4,False,999,"[0, 0]",3
5,True,653,"[0, 0]",3
6,True,350,"[0, 0]",3
7,False,999,"[0, 0]",3
8,True,696,"[0, 0]",3
9,True,408,"[0, 0]",3
0,True,197,"[0, 0]",1
1,True,362,"[0, 0]",1
2,True,349,"[0, 0]",1
3,True,811,"[0, 0]",1
4,False,999,"[0, 0]",1
5,False,999,"[0, 0]",1
6,True,660,"[0, 0]",1
7,False,999,"[0, 0]",1
8,True,257,"[0, 0]",1
9,True,672,"[0, 0]",1
0,True,235,"[0, 0]",18
1,False,999,"[0, 0]",18
2,True,455,"[0, 0]",18
3,True,880,"[0, 0]",18
4,True,729,"[0, 0]",18
5,True,630,"[0, 0]",18
6,True,624,"[0, 0]",18
7,True,245,"[0, 0]",18
8,True,860,"[0, 0]",18
9,True,658,"[0, 0]",18
0,False,999,"[0, 0]",5
1,True,479,"[0, 0]",5
2,True,640,"[0, 0]",5
3,True,341,"[0, 0]",5
4,True,380,"[0, 0]",5
5,False,999,"[0, 0]",5
6,True,697,"[0, 0]",5
