episode,success,sim_steps,VFE_post_run,noise_stddev,agent_num
0,True,472,82.91383361816406,"[0.05, 0.05]",4
1,True,400,72.91584777832031,"[0.05, 0.05]",4
2,True,268,49.666969299316406,"[0.05, 0.05]",4
3,True,707,90.5119857788086,"[0.05, 0.05]",4
4,True,195,85.91152954101562,"[0.05, 0.05]",4
5,True,265,62.58995819091797,"[0.05, 0.05]",4
6,True,288,68.11813354492188,"[0.05, 0.05]",4
7,True,279,66.33282470703125,"[0.05, 0.05]",4
8,True,220,63.797157287597656,"[0.05, 0.05]",4
9,True,261,56.65382766723633,"[0.05, 0.05]",4
10,True,467,54.22206497192383,"[0.05, 0.05]",4
11,True,267,53.10465621948242,"[0.05, 0.05]",4
12,True,163,31.94635772705078,"[0.05, 0.05]",4
13,True,251,38.17509841918945,"[0.05, 0.05]",4
14,True,188,54.319923400878906,"[0.05, 0.05]",4
15,True,163,24.061649322509766,"[0.05, 0.05]",4
16,True,164,24.046567916870117,"[0.05, 0.05]",4
17,True,401,30.00824737548828,"[0.05, 0.05]",4
18,True,146,23.306148529052734,"[0.05, 0.05]",4
19,True,455,25.814775466918945,"[0.05, 0.05]",4
20,True,163,22.128978729248047,"[0.05, 0.05]",4
21,True,102,18.577964782714844,"[0.05, 0.05]",4
22,True,278,30.103853225708008,"[0.05, 0.05]",4
23,True,158,20.513870239257812,"[0.05, 0.05]",4
24,True,392,24.09685516357422,"[0.05, 0.05]",4
25,True,289,17.931861877441406,"[0.05, 0.05]",4
26,True,160,19.34946632385254,"[0.05, 0.05]",4
27,True,447,15.394318580627441,"[0.05, 0.05]",4
28,True,211,15.149639129638672,"[0.05, 0.05]",4
29,True,152,15.42746639251709,"[0.05, 0.05]",4
30,True,261,14.29145336151123,"[0.05, 0.05]",4
31,True,287,15.247489929199219,"[0.05, 0.05]",4
32,True,229,13.397398948669434,"[0.05, 0.05]",4
33,True,261,15.280011177062988,"[0.05, 0.05]",4
34,True,153,13.2120361328125,"[0.05, 0.05]",4
35,True,399,14.396252632141113,"[0.05, 0.05]",4
36,True,154,9.386537551879883,"[0.05, 0.05]",4
37,True,188,9.162355422973633,"[0.05, 0.05]",4
38,True,308,9.358994483947754,"[0.05, 0.05]",4
39,True,142,12.054194450378418,"[0.05, 0.05]",4
0,False,999,48.37095260620117,"[0.05, 0.05]",1
1,False,999,61.35147476196289,"[0.05, 0.05]",1
2,True,239,53.66624450683594,"[0.05, 0.05]",1
3,True,90,65.66976928710938,"[0.05, 0.05]",1
4,True,875,26.996021270751953,"[0.05, 0.05]",1
5,True,150,50.86051559448242,"[0.05, 0.05]",1
6,True,470,42.08717346191406,"[0.05, 0.05]",1
7,True,632,49.855621337890625,"[0.05, 0.05]",1
8,True,282,66.45602416992188,"[0.05, 0.05]",1
9,True,301,47.7480354309082,"[0.05, 0.05]",1
10,True,201,46.01064682006836,"[0.05, 0.05]",1
11,True,258,35.72475051879883,"[0.05, 0.05]",1
12,True,215,25.87221908569336,"[0.05, 0.05]",1
13,True,422,34.46480941772461,"[0.05, 0.05]",1
14,True,441,24.842470169067383,"[0.05, 0.05]",1
15,True,227,16.653579711914062,"[0.05, 0.05]",1
