,episode,success,sim_steps,VFE_post_run,noise_stddev,percent_use_fast_thinking,total_reward,agent_time_ratio,agent_id
0,0,True,587,55.97513198852539,"[0.05, 0.05]",0.04081632653061224,92.08323388861328,6,0
1,1,True,563,58.57197189331055,"[0.05, 0.05]",0.0425531914893617,92.07204191411068,6,0
2,2,True,668,71.6066665649414,"[0.05, 0.05]",0.026785714285714284,91.02568481763103,6,0
3,3,True,601,53.166561126708984,"[0.05, 0.05]",0.039603960396039604,91.76364561399649,6,0
4,4,True,105,49.7417106628418,"[0.05, 0.05]",0.05555555555555555,98.60792008837174,6,0
5,5,True,155,56.15200424194336,"[0.05, 0.05]",0.0,97.72875108776424,6,0
6,6,True,74,50.40024185180664,"[0.05, 0.05]",0.0,98.94253595024203,6,0
7,7,True,109,79.75715637207031,"[0.05, 0.05]",0.0,98.35763029388572,6,0
8,8,True,336,71.88999938964844,"[0.05, 0.05]",0.0,95.50682025714468,6,0
9,9,True,176,84.39364624023438,"[0.05, 0.05]",0.0,97.81333464370688,6,0
10,10,True,109,42.6023063659668,"[0.05, 0.05]",0.10526315789473684,98.57014237944553,6,0
11,11,True,75,38.53847885131836,"[0.05, 0.05]",0.07692307692307693,99.0588213761533,6,0
12,12,True,74,46.93439865112305,"[0.05, 0.05]",0.0,99.00596535227403,6,0
13,13,True,123,48.53812026977539,"[0.05, 0.05]",0.0,98.2860826708835,6,0
14,14,True,82,42.58974838256836,"[0.05, 0.05]",0.07142857142857142,99.11341444627662,6,0
15,15,True,129,45.852020263671875,"[0.05, 0.05]",0.045454545454545456,98.33918105733862,6,0
16,16,True,106,39.86568832397461,"[0.05, 0.05]",0.05555555555555555,98.57539045115477,6,0
17,17,True,95,27.70952033996582,"[0.05, 0.05]",0.125,98.94836280147723,6,0
18,18,True,196,37.767311096191406,"[0.05, 0.05]",0.06060606060606061,97.41335580979498,6,0
19,19,True,109,33.06581115722656,"[0.05, 0.05]",0.05263157894736842,98.63026802974868,6,0
20,20,True,90,32.11067199707031,"[0.05, 0.05]",0.2,98.937589512775,6,0
21,21,True,140,44.46479034423828,"[0.05, 0.05]",0.041666666666666664,98.05296524473262,6,0
22,22,True,143,28.018587112426758,"[0.05, 0.05]",0.20833333333333334,98.37048691507992,6,0
23,23,True,88,37.17111587524414,"[0.05, 0.05]",0.13333333333333333,98.88974853609933,6,0
24,24,True,193,33.30668258666992,"[0.05, 0.05]",0.0,97.19280303224983,6,0
25,25,True,103,32.72547149658203,"[0.05, 0.05]",0.05555555555555555,98.67969247394203,6,0
26,26,True,139,30.3094425201416,"[0.05, 0.05]",0.041666666666666664,98.01751174746433,6,0
27,27,True,116,35.76909637451172,"[0.05, 0.05]",0.05,98.47487299461397,6,0
28,28,True,221,20.845991134643555,"[0.05, 0.05]",0.05405405405405406,97.02391144175547,6,0
29,29,True,148,22.577716827392578,"[0.05, 0.05]",0.16,98.14850327851033,6,0
30,30,True,384,9.066817283630371,"[0.05, 0.05]",0.203125,95.324494256508,6,0
31,31,True,204,20.652671813964844,"[0.05, 0.05]",0.20588235294117646,97.55001920598386,6,0
32,32,True,112,28.508739471435547,"[0.05, 0.05]",0.10526315789473684,98.60354182149047,6,0
33,33,True,223,14.66586685180664,"[0.05, 0.05]",0.34210526315789475,97.70445849792523,6,0
34,34,True,379,10.502298355102539,"[0.05, 0.05]",0.25,95.49548082357953,6,0
35,35,True,147,15.251150131225586,"[0.05, 0.05]",0.44,98.58979830212827,6,0
36,36,True,141,14.407547950744629,"[0.05, 0.05]",0.20833333333333334,98.36100348738444,6,0
37,37,True,389,10.026494979858398,"[0.05, 0.05]",0.38461538461538464,95.99105591625198,6,0
38,38,True,250,12.478856086730957,"[0.05, 0.05]",0.42857142857142855,97.61236378642452,6,0
39,39,True,174,16.279706954956055,"[0.05, 0.05]",0.20689655172413793,97.94409121851093,6,0
40,40,True,292,8.694703102111816,"[0.05, 0.05]",0.5102040816326531,97.22022259781221,6,0
41,41,False,999,7.022584438323975,"[0.05, 0.05]",0.40718562874251496,-10.232611563941699,6,0
