,episode,success,sim_steps,VFE_post_run,noise_stddev,percent_use_fast_thinking,total_reward,agent_time_ratio,agent_id
0,0,True,204,102.8107681274414,"[0.05, 0.05]",0.0,97.23763981800627,6,0
1,1,True,110,120.1247787475586,"[0.05, 0.05]",0.0,98.38107098233667,6,0
2,2,True,261,84.6518783569336,"[0.05, 0.05]",0.0,96.20847638322684,6,0
3,3,True,134,91.27886199951172,"[0.05, 0.05]",0.0,98.13710371417089,6,0
4,4,True,129,99.44515228271484,"[0.05, 0.05]",0.0,98.11105736960936,6,0
5,5,True,277,61.98622512817383,"[0.05, 0.05]",0.0,96.04329562784358,6,0
6,6,True,95,85.7185287475586,"[0.05, 0.05]",0.0,98.61865078195557,6,0
7,7,True,139,76.18217468261719,"[0.05, 0.05]",0.0,97.89564065346693,6,0
8,8,True,190,64.95262908935547,"[0.05, 0.05]",0.0,97.36045906005889,6,0
9,9,True,137,78.15487670898438,"[0.05, 0.05]",0.0,98.3257106197703,6,0
10,10,True,74,80.35128021240234,"[0.05, 0.05]",0.0,98.85211379658992,6,0
11,11,True,135,71.08990478515625,"[0.05, 0.05]",0.0,98.15055281739836,6,0
12,12,True,163,96.30670928955078,"[0.05, 0.05]",0.0,97.63196233165745,6,0
13,13,True,138,57.66598129272461,"[0.05, 0.05]",0.0,98.09252010181018,6,0
14,14,True,128,60.66396713256836,"[0.05, 0.05]",0.0,98.35299114506154,6,0
15,15,True,71,40.63927459716797,"[0.05, 0.05]",0.0,98.97761743967585,6,0
16,16,True,105,55.80263137817383,"[0.05, 0.05]",0.0,98.55448844863642,6,0
17,17,True,200,24.928295135498047,"[0.05, 0.05]",0.0,97.28928294383161,6,0
18,18,True,119,40.83842086791992,"[0.05, 0.05]",0.0,98.51673496217703,6,0
19,19,True,82,29.78663444519043,"[0.05, 0.05]",0.0,98.79253917856185,6,0
20,20,True,152,40.161251068115234,"[0.05, 0.05]",0.0,97.7858959345801,6,0
21,21,True,119,37.845359802246094,"[0.05, 0.05]",0.0,98.61899867959175,6,0
22,22,True,143,32.44303894042969,"[0.05, 0.05]",0.0,97.90255009330963,6,0
23,23,True,192,17.925016403198242,"[0.05, 0.05]",0.0,97.180177190088,6,0
24,24,True,79,37.82987976074219,"[0.05, 0.05]",0.0,98.84585138650806,6,0
25,25,True,131,22.126174926757812,"[0.05, 0.05]",0.0,98.10477052055722,6,0
26,26,True,116,23.543745040893555,"[0.05, 0.05]",0.0,98.25273802394435,6,0
27,27,True,525,10.198546409606934,"[0.05, 0.05]",0.0,91.7031248107948,6,0
28,28,True,207,19.816152572631836,"[0.05, 0.05]",0.0,97.25235345512502,6,0
29,29,True,128,15.611420631408691,"[0.05, 0.05]",0.0,97.97594727168426,6,0
30,30,True,146,18.795499801635742,"[0.05, 0.05]",0.0,97.7244575667045,6,0
31,31,True,211,10.752501487731934,"[0.05, 0.05]",0.0,96.75436851569415,6,0
32,32,True,117,18.786880493164062,"[0.05, 0.05]",0.0,98.16687985941525,6,0
33,33,True,369,8.612566947937012,"[0.05, 0.05]",0.0,94.21124336612843,6,0
34,34,True,118,13.395197868347168,"[0.05, 0.05]",0.0,98.21042978219015,6,0
35,35,True,280,8.784279823303223,"[0.05, 0.05]",0.0,95.66054102430553,6,0
36,36,True,117,12.197710037231445,"[0.05, 0.05]",0.0,98.19377475511067,6,0
37,37,True,373,6.58571720123291,"[0.05, 0.05]",0.0,94.1436051435297,6,0
38,38,True,117,11.710515022277832,"[0.05, 0.05]",0.0,98.14064376212443,6,0
39,39,True,368,6.986108779907227,"[0.05, 0.05]",0.0,94.31337474822146,6,0
40,40,True,201,7.934028148651123,"[0.05, 0.05]",0.0,96.81337049989341,6,0
41,41,True,380,6.415334701538086,"[0.05, 0.05]",0.0,94.01109980925902,6,0
42,42,True,111,12.94306755065918,"[0.05, 0.05]",0.0,98.41689584891496,6,0
43,43,True,453,5.567474365234375,"[0.05, 0.05]",0.0,93.18022835363139,6,0
44,44,True,190,7.953715801239014,"[0.05, 0.05]",0.0,97.08457155338789,6,0
45,45,True,67,9.646077156066895,"[0.05, 0.05]",0.0,98.88470606824764,6,0
46,46,True,205,7.065128803253174,"[0.05, 0.05]",0.0,96.7374356744218,6,0
47,47,True,129,9.216360092163086,"[0.05, 0.05]",0.0,98.04545181628295,6,0
48,48,True,124,9.743659019470215,"[0.05, 0.05]",0.0,98.05831814631398,6,0
49,49,True,212,7.428587436676025,"[0.05, 0.05]",0.0,96.60895216781587,6,0
50,50,True,222,7.27175760269165,"[0.05, 0.05]",0.0,96.8866242872264,6,0
51,51,True,188,9.97763442993164,"[0.05, 0.05]",0.0,97.52334011020989,6,0
52,52,True,189,7.439925193786621,"[0.05, 0.05]",0.0,97.08124129789459,6,0
53,53,True,128,9.301454544067383,"[0.05, 0.05]",0.0,97.99962528777934,6,0
54,54,True,935,4.170135974884033,"[0.05, 0.05]",0.0,85.42851844915678,6,0
55,55,True,206,6.6456146240234375,"[0.05, 0.05]",0.0,96.84511823727763,6,0
56,56,True,129,8.034411430358887,"[0.05, 0.05]",0.0,97.98225220574386,6,0
57,57,True,210,6.6865057945251465,"[0.05, 0.05]",0.0,96.86800197683057,6,0
58,58,True,285,5.697831630706787,"[0.05, 0.05]",0.0,95.61015433387531,6,0
59,59,True,116,9.002256393432617,"[0.05, 0.05]",0.0,98.24995078651384,6,0
60,60,True,70,7.255164623260498,"[0.05, 0.05]",0.0,98.91764756916992,6,0
61,61,False,999,3.525009870529175,"[0.05, 0.05]",0.0,-16.117160149557336,6,0
62,62,True,126,8.335140228271484,"[0.05, 0.05]",0.0,98.12913395550618,6,0
63,63,True,129,8.13488483428955,"[0.05, 0.05]",0.0,98.00024378920045,6,0
64,64,True,134,7.7635650634765625,"[0.05, 0.05]",0.0,97.95379085599687,6,0
65,65,False,999,3.834676504135132,"[0.05, 0.05]",0.0,-15.790370645852514,6,0
66,66,True,212,7.630243301391602,"[0.05, 0.05]",0.0,96.64129020756114,6,0
67,67,True,210,6.520678997039795,"[0.05, 0.05]",0.0,96.83163997293738,6,0
68,68,True,128,8.986902236938477,"[0.05, 0.05]",0.0,97.97219197075961,6,0
69,69,True,117,8.431154251098633,"[0.05, 0.05]",0.0,98.25440698896796,6,0
70,70,False,999,3.7235865592956543,"[0.05, 0.05]",0.0,-15.859606910609513,6,0
71,71,True,112,8.112248420715332,"[0.05, 0.05]",0.0,98.28840732349916,6,0
72,72,False,999,3.33955454826355,"[0.05, 0.05]",0.0,-16.019937377850408,6,0
73,73,False,999,3.421684741973877,"[0.05, 0.05]",0.0,-15.97636192908355,6,0
74,74,True,491,5.874027252197266,"[0.05, 0.05]",0.0,92.4469010533866,6,0
75,75,True,113,9.907493591308594,"[0.05, 0.05]",0.0,98.37807566347325,6,0
76,76,True,125,7.843571186065674,"[0.05, 0.05]",0.0,98.14756140209134,6,0
77,77,True,117,8.260717391967773,"[0.05, 0.05]",0.0,98.19968141948603,6,0
78,78,True,132,8.181400299072266,"[0.05, 0.05]",0.0,98.28869724214474,6,0
79,79,True,128,8.664931297302246,"[0.05, 0.05]",0.0,98.03035127114681,6,0
80,0,True,176,140.74835205078125,"[0.05, 0.05]",0.0,97.43524996574945,6,1
81,1,True,996,63.482540130615234,"[0.05, 0.05]",0.0,87.76933288302489,6,1
82,2,True,199,71.60372161865234,"[0.05, 0.05]",0.0,97.52404652431579,6,1
