,episode,success,sim_steps,VFE_post_run,noise_stddev,percent_use_fast_thinking,total_reward,agent_time_ratio,agent_id
0,0,True,367,101.83214569091797,"[0.05, 0.05]",0.0,95.78227330629048,6,0
1,1,True,91,83.03508758544922,"[0.05, 0.05]",0.0,99.035805264844,6,0
2,2,True,732,71.86370849609375,"[0.05, 0.05]",0.0,90.493827735758,6,0
3,3,True,748,46.70519256591797,"[0.05, 0.05]",0.0,90.87129756718356,6,0
4,4,True,259,60.41766357421875,"[0.05, 0.05]",0.0,96.41925505191541,6,0
5,5,True,174,60.382389068603516,"[0.05, 0.05]",0.0,97.52935831286685,6,0
6,6,True,475,57.06027603149414,"[0.05, 0.05]",0.0,93.94825195996047,6,0
7,7,True,215,71.7266845703125,"[0.05, 0.05]",0.0,97.15730044664116,6,0
8,8,True,447,64.25482940673828,"[0.05, 0.05]",0.0,94.3055506451569,6,0
9,9,True,126,57.113868713378906,"[0.05, 0.05]",0.0,98.42739692211786,6,0
10,10,True,164,71.72395324707031,"[0.05, 0.05]",0.0,97.5780449476916,6,0
11,11,True,157,56.59381103515625,"[0.05, 0.05]",0.0,97.74369116171664,6,0
12,12,True,370,60.50934600830078,"[0.05, 0.05]",0.0,95.29350405297777,6,0
13,13,True,103,46.466033935546875,"[0.05, 0.05]",0.0,98.55025629836763,6,0
14,14,True,68,56.95954895019531,"[0.05, 0.05]",0.0,98.9617615856256,6,0
15,15,True,95,47.03684997558594,"[0.05, 0.05]",0.0,98.61571068985151,6,0
16,16,True,88,28.820009231567383,"[0.05, 0.05]",0.0,98.80045458903525,6,0
17,17,True,102,42.10780334472656,"[0.05, 0.05]",0.0,98.60630859521068,6,0
18,18,True,152,60.29137420654297,"[0.05, 0.05]",0.0,97.77161254018003,6,0
19,19,True,116,41.194339752197266,"[0.05, 0.05]",0.0,98.4598288533447,6,0
20,20,True,69,29.805185317993164,"[0.05, 0.05]",0.0,98.9822501803378,6,0
21,21,True,75,40.967491149902344,"[0.05, 0.05]",0.0,98.99815330718017,6,0
22,22,True,85,21.27938461303711,"[0.05, 0.05]",0.0,98.6243760841974,6,0
23,23,True,78,41.324668884277344,"[0.05, 0.05]",0.0,98.95800460922213,6,0
24,24,True,82,32.72123336791992,"[0.05, 0.05]",0.0,98.76568336476194,6,0
25,25,True,74,31.10342025756836,"[0.05, 0.05]",0.0,98.90231127552177,6,0
26,26,True,128,48.552879333496094,"[0.05, 0.05]",0.0,97.99742014229457,6,0
27,27,True,90,22.781139373779297,"[0.05, 0.05]",0.0,98.82351785004745,6,0
28,28,True,128,43.69605255126953,"[0.05, 0.05]",0.0,97.996473937361,6,0
29,29,True,81,32.12386703491211,"[0.05, 0.05]",0.0,98.89623416800228,6,0
