,episode,success,sim_steps,VFE_post_run,noise_stddev,percent_use_fast_thinking,total_reward,agent_time_ratio,agent_id
0,0,True,85,100.68083190917969,"[0.05, 0.05]",0.0,98.8057124257901,6,0
1,1,True,347,85.80348205566406,"[0.05, 0.05]",0.0,95.36135494675781,6,0
2,2,True,148,60.04451370239258,"[0.05, 0.05]",0.0,97.80680266585829,6,0
3,3,True,175,64.34661865234375,"[0.05, 0.05]",0.0,97.78062160322928,6,0
4,4,True,96,87.72578430175781,"[0.05, 0.05]",0.0,98.63024115621357,6,0
5,5,True,252,30.53697967529297,"[0.05, 0.05]",0.0,96.63922414949302,6,0
6,6,True,135,54.99888229370117,"[0.05, 0.05]",0.0,98.10214166084639,6,0
7,7,True,163,94.0035171508789,"[0.05, 0.05]",0.0,97.80359588242739,6,0
8,8,True,165,80.40664672851562,"[0.05, 0.05]",0.0,97.61383104116119,6,0
9,9,True,92,77.24298858642578,"[0.05, 0.05]",0.0,98.799266674152,6,0
10,10,True,153,113.12259674072266,"[0.05, 0.05]",0.0,97.78062064627429,6,0
11,11,True,250,55.359130859375,"[0.05, 0.05]",0.0,96.78172370761547,6,0
12,12,True,147,91.42720794677734,"[0.05, 0.05]",0.0,98.09532556395317,6,0
13,13,True,113,70.18896484375,"[0.05, 0.05]",0.0,98.32969675276797,6,0
14,14,True,76,57.54510498046875,"[0.05, 0.05]",0.0,98.88197701979324,6,0
15,15,True,123,71.87838745117188,"[0.05, 0.05]",0.0,98.13407860889953,6,0
16,16,True,76,65.9135513305664,"[0.05, 0.05]",0.0,99.05202621667063,6,0
17,17,True,137,58.09828186035156,"[0.05, 0.05]",0.0,97.88915644526442,6,0
18,18,True,117,61.34972381591797,"[0.05, 0.05]",0.0,98.265667908722,6,0
19,19,True,70,44.27854537963867,"[0.05, 0.05]",0.0,98.95220965064225,6,0
20,20,True,127,56.75116729736328,"[0.05, 0.05]",0.0,98.08720213399106,6,0
21,21,True,86,37.83984375,"[0.05, 0.05]",0.0,98.67768905115516,6,0
22,22,True,92,45.46607208251953,"[0.05, 0.05]",0.0,98.52244418455778,6,0
23,23,True,381,24.40275764465332,"[0.05, 0.05]",0.0,94.20831519202724,6,0
24,24,True,97,45.32448959350586,"[0.05, 0.05]",0.0,98.51919573112515,6,0
25,25,True,84,22.977294921875,"[0.05, 0.05]",0.0,98.85001198646484,6,0
26,26,True,98,46.03047180175781,"[0.05, 0.05]",0.0,98.49651181955555,6,0
27,27,True,98,37.99177551269531,"[0.05, 0.05]",0.0,98.59344332795104,6,0
28,28,True,137,25.867280960083008,"[0.05, 0.05]",0.0,98.17037670045642,6,0
29,29,True,297,20.549055099487305,"[0.05, 0.05]",0.0,95.62653342168089,6,0
30,30,True,74,26.502431869506836,"[0.05, 0.05]",0.0,98.98805052602465,6,0
31,31,True,112,30.140186309814453,"[0.05, 0.05]",0.0,98.496408264457,6,0
32,32,True,325,17.580224990844727,"[0.05, 0.05]",0.0,94.9978271814798,6,0
33,33,True,145,35.02695083618164,"[0.05, 0.05]",0.0,97.86470857992259,6,0
34,34,True,79,27.38977813720703,"[0.05, 0.05]",0.0,98.91943527067082,6,0
35,35,True,300,17.376543045043945,"[0.05, 0.05]",0.0,95.58186071447611,6,0
36,36,True,78,26.54658317565918,"[0.05, 0.05]",0.0,98.80923424978998,6,0
37,37,True,69,18.659717559814453,"[0.05, 0.05]",0.0,98.88819475451135,6,0
38,38,True,126,37.66330337524414,"[0.05, 0.05]",0.0,98.19194193063642,6,0
39,39,True,189,30.444135665893555,"[0.05, 0.05]",0.0,97.37923374411427,6,0
40,40,True,126,23.608259201049805,"[0.05, 0.05]",0.0,98.23432140783234,6,0
41,41,True,196,23.61774253845215,"[0.05, 0.05]",0.0,97.30008420292239,6,0
42,42,True,77,17.010019302368164,"[0.05, 0.05]",0.0,98.84205959493951,6,0
43,43,True,81,16.616596221923828,"[0.05, 0.05]",0.0,98.86696080923619,6,0
44,44,True,250,11.488751411437988,"[0.05, 0.05]",0.0,96.74010265006828,6,0
45,45,True,76,12.014204025268555,"[0.05, 0.05]",0.0,99.0664860621869,6,0
46,46,True,183,14.8545560836792,"[0.05, 0.05]",0.0,97.96807418916173,6,0
47,47,True,83,8.105621337890625,"[0.05, 0.05]",0.0,99.02587136757926,6,0
48,48,True,186,10.19737720489502,"[0.05, 0.05]",0.0,97.6693632148479,6,0
49,49,False,999,3.213740825653076,"[0.05, 0.05]",0.0,-15.321337784423472,6,0
50,50,True,121,12.470757484436035,"[0.05, 0.05]",0.0,98.2886265794556,6,0
51,51,True,85,9.11231517791748,"[0.05, 0.05]",0.0,98.73194033555191,6,0
52,52,True,298,5.905322074890137,"[0.05, 0.05]",0.0,95.59317559262274,6,0
53,53,True,77,7.129543781280518,"[0.05, 0.05]",0.0,99.02004228577846,6,0
54,54,True,82,8.746072769165039,"[0.05, 0.05]",0.0,99.09777610147019,6,0
55,55,True,780,4.150511741638184,"[0.05, 0.05]",0.0,88.55585421007741,6,0
56,56,True,223,8.264859199523926,"[0.05, 0.05]",0.0,96.7566497388428,6,0
57,57,False,999,3.399191379547119,"[0.05, 0.05]",0.0,-15.279544100246884,6,0
58,58,True,129,10.734167098999023,"[0.05, 0.05]",0.0,98.158935189194,6,0
59,59,True,143,10.85837173461914,"[0.05, 0.05]",0.0,98.05123435822217,6,0
60,60,True,133,9.546523094177246,"[0.05, 0.05]",0.0,98.2717119505991,6,0
61,61,True,172,10.494695663452148,"[0.05, 0.05]",0.0,97.67814203167192,6,0
62,62,True,127,9.739078521728516,"[0.05, 0.05]",0.0,98.09514272383585,6,0
63,63,True,124,7.553255081176758,"[0.05, 0.05]",0.0,98.41819578802787,6,0
64,64,True,212,6.480592250823975,"[0.05, 0.05]",0.0,96.87102376455749,6,0
65,65,True,299,5.869578838348389,"[0.05, 0.05]",0.0,95.64946112876343,6,0
66,66,True,150,5.908984184265137,"[0.05, 0.05]",0.0,98.06196586433222,6,0
67,67,True,131,7.670382499694824,"[0.05, 0.05]",0.0,98.29850326889827,6,0
68,68,True,238,5.148746013641357,"[0.05, 0.05]",0.0,96.76820394005034,6,0
69,69,False,999,4.056231498718262,"[0.05, 0.05]",0.0,-15.53432704389581,6,0
70,70,True,143,5.825445175170898,"[0.05, 0.05]",0.0,98.15879328645553,6,0
71,71,False,999,3.688035249710083,"[0.05, 0.05]",0.0,-15.254349171097832,6,0
72,72,True,137,8.087267875671387,"[0.05, 0.05]",0.0,98.1341328694678,6,0
73,73,True,114,8.878840446472168,"[0.05, 0.05]",0.0,98.49160768146092,6,0
74,74,False,999,3.4923219680786133,"[0.05, 0.05]",0.0,-15.315891403334586,6,0
75,75,True,137,7.738461017608643,"[0.05, 0.05]",0.0,98.30141926094582,6,0
76,76,True,123,8.08236312866211,"[0.05, 0.05]",0.0,98.52195077005585,6,0
77,77,False,999,3.4267842769622803,"[0.05, 0.05]",0.0,-15.16484831020541,6,0
78,78,True,294,5.470672607421875,"[0.05, 0.05]",0.0,95.84211051743637,6,0
79,79,True,972,4.5493974685668945,"[0.05, 0.05]",0.0,85.75769961403263,6,0
80,80,True,132,8.151949882507324,"[0.05, 0.05]",0.0,98.2150680885388,6,0
81,81,True,104,8.387378692626953,"[0.05, 0.05]",0.0,98.52547092151411,6,0
82,82,True,157,8.304137229919434,"[0.05, 0.05]",0.0,97.75391220752567,6,0
83,83,True,127,7.104324817657471,"[0.05, 0.05]",0.0,98.44815596085648,6,0
84,84,False,999,3.3997561931610107,"[0.05, 0.05]",0.0,-15.571691948542693,6,0
85,85,True,105,7.093952178955078,"[0.05, 0.05]",0.0,98.75911754022526,6,0
86,86,False,999,3.5394740104675293,"[0.05, 0.05]",0.0,-15.41833875213026,6,0
87,87,True,204,6.41821813583374,"[0.05, 0.05]",0.0,97.26017226635359,6,0
88,88,False,999,3.6643128395080566,"[0.05, 0.05]",0.0,-15.483028696803963,6,0
89,89,False,999,4.072447776794434,"[0.05, 0.05]",0.0,-15.659367128451446,6,0
90,90,False,999,3.998922824859619,"[0.05, 0.05]",0.0,-15.565822899018045,6,0
91,91,True,196,6.2899956703186035,"[0.05, 0.05]",0.0,97.37088063777101,6,0
92,92,False,999,3.79101300239563,"[0.05, 0.05]",0.0,-15.237074863736778,6,0
93,93,True,128,7.778326988220215,"[0.05, 0.05]",0.0,98.3083590599049,6,0
94,94,True,121,7.303109645843506,"[0.05, 0.05]",0.0,98.23503115284167,6,0
95,95,True,120,7.225961685180664,"[0.05, 0.05]",0.0,98.37392949082582,6,0
96,96,True,112,7.711803436279297,"[0.05, 0.05]",0.0,98.5288591059183,6,0
97,97,True,126,7.4864654541015625,"[0.05, 0.05]",0.0,98.46573954384596,6,0
98,98,True,117,7.450616836547852,"[0.05, 0.05]",0.0,98.26943058407133,6,0
99,99,True,130,7.26877498626709,"[0.05, 0.05]",0.0,98.50230515163098,6,0
100,0,True,360,79.53881072998047,"[0.05, 0.05]",0.0,95.17351615188893,6,1
101,1,True,686,54.84138870239258,"[0.05, 0.05]",0.0,90.32828089037577,6,1
102,2,True,311,84.77518463134766,"[0.05, 0.05]",0.0,96.02000672542201,6,1
103,3,True,201,73.75653076171875,"[0.05, 0.05]",0.0,97.05690055194121,6,1
104,4,True,167,50.354854583740234,"[0.05, 0.05]",0.0,97.52745325387812,6,1
105,5,True,210,82.82669067382812,"[0.05, 0.05]",0.0,96.97453036331692,6,1
106,6,True,72,58.590415954589844,"[0.05, 0.05]",0.0,98.99070533617723,6,1
107,7,True,265,77.3393783569336,"[0.05, 0.05]",0.0,96.0738644596938,6,1
108,8,True,145,83.99452209472656,"[0.05, 0.05]",0.0,97.99947282409832,6,1
109,9,True,116,67.81141662597656,"[0.05, 0.05]",0.0,98.2072086961263,6,1
110,10,True,73,58.96411895751953,"[0.05, 0.05]",0.0,98.90521435556626,6,1
111,11,True,115,61.65739440917969,"[0.05, 0.05]",0.0,98.38529979836385,6,1
112,12,True,117,53.353904724121094,"[0.05, 0.05]",0.0,98.29822198110233,6,1
113,13,True,100,50.316192626953125,"[0.05, 0.05]",0.0,98.6011050656351,6,1
114,14,True,129,54.617618560791016,"[0.05, 0.05]",0.0,98.19714776351063,6,1
115,15,True,113,46.57024383544922,"[0.05, 0.05]",0.0,98.39815756686868,6,1
116,16,True,126,58.10014724731445,"[0.05, 0.05]",0.0,98.3331062350063,6,1
117,17,True,106,46.63568115234375,"[0.05, 0.05]",0.0,98.49602967838719,6,1
118,18,True,74,40.06745147705078,"[0.05, 0.05]",0.0,99.04067582208064,6,1
119,19,True,123,47.254215240478516,"[0.05, 0.05]",0.0,98.30706534197958,6,1
120,20,True,116,45.9107666015625,"[0.05, 0.05]",0.0,98.33787316532074,6,1
